English,Hindi
angle of rotation,घूर्णन-कोण
angle of total reflection,पूर्ण परावर्तन-कोण
angular acceleration,कोणीय त्वरण
angular motion,कोणीय गति
angular speed,कोणीय चाल
angular velocity,कोणीय वेग
annulus,वलयिका
answer,उत्तर
anti – derivative,प्रति-अवकलज
antisymmetric function,प्रतिसममित फलन
applicable,"आच्छाद्य , अनु प्रयोज्य, लागू"
application,"अनुप्रयोग उपयोजन,"
applied dynamic programming,अनुप्रयुक्त गतिशील प्रोग्रामन
applied geometry,अनुप्रयुक्त ज्यामिति
applied mathematics,अनुप्रयुक्त गणित
applied statistics,अनुप्रयुक्त सांख्यिकी
approximately,"सन्निकटतः, लगभग"
approximately continuous function,सन्निकटतः संतत फलन
approximate method,"स्थूल विधि, सन्निकट विधि"
approximate solution,सन्निकट हल
approximation problem,सन्निकटन-समस्या
approximation property,सन्निकटन-गुणधर्म
aptitude test battery,अभिक्षमता-परीक्षावली
Argand diagram,आरगाँ आरेख
arbitrarily chosen,स्वेच्छगहीतृ
arbitrary,"स्वेच्छ, यादृच्छिक"
arbitrary constant,स्वेच्छ अचर
arbitrary element,स्वेच्छ अवयव
arbitrary point,स्वेच्छ बिन्दु
Archemedean law,आर्किमीडी नियम
Archimedes principle,आर्किमीडीज़ का नियम
arc length,"चाप-दैर्घ्य, चाप-लम्बाई"
arc of circle,वत्तृ चाप
arc sine distribution,प्रतिलोम ज्या बंटन
arc sine transformation,प्रतिलोम ज्या रूपांतरण
area," क्षेत्र , क्षेत्रफल"
areal texture,क्षेत्रीय विन्यास
argument of complex number,सम्मिश्र संख्या का कोणांक
arithmetic mean,समांतर माध्य
arithmetic operation,अंकीय संक्रिया
arithmetic unit,अंकीय एकक
arrangement,"विन्यास, व्यवस्था"
array,"व्यूह , सरणी"
artificial satellite,कृत्रिम उपग्रह
artificial variable,कृत्रिम चर
ascend,आरोहण करना
ascending,आरोही
ascending order of magnitude,परिमाण का आरोही क्रम
ascending series,आरोही श्रेणी
assembler language,कोडांतरक भाषा
assignment problem,"नियतन समस्या नियतन प्रश्न,"
associative law,साहचर्य नियम
associative law of operators,संकारकों का साहचर्य नियम
associative operation,साहचर्य-संक्रिया
associativity,सहचारिता
assumed mean,कल्पित माध्य
assumed probability distribution,कल्पित प्रायिकता बंटन
assumption," कल्पना , गृहीत,"
astrology,ज्योतिष
astronautical engineer,"अंतरिक्षयानिक इंजीनियर अंतराळी अभियंता,"
astronomer,खगोलज्ञ*
astronomical clock,खगोलीय घड़ी
astronomy,खगोलिकी
asymmetrical curve,असममित वक्र
asymmetry,असममिति
asymptote,अनंतस्पर्शी
asymptotic,उपगामी
asymptotically efficient estimator,उपगामी दक्ष आकलक
asymptotically unbiased estimator,उपगामी अनभिनत आकलक
asymptotic behavior,उपगामी आचरण
asymptotic distribution function,उपगामी बंटन-फलन
asymptotic expansion,उपगामी प्रसार
atmospheric pressure,वायु मंडलीय दाब
at random,"यदृच्छया,"
attribute,गुण*
attributes sampling procedure,गुण-प्रतिचयन-क्रियाविधि
augmented matrix,संवर्धित आव्यूह
autocorrelation coefficient,स्वसहसंबंध गुणांक
autocorrelation function,स्वसहसंबंध फलन
autocovariance,स्वसहप्रसरण
automatic computer,स्वचालित अभिकलित्र
autoregression,स्वसमाश्रयण
auxiliary equation,सहायक समीकरण
average sample number curve (A.S.N. Curve),माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र)
axiom," स्वयंसिद्‌ध , अभिगृहीत"
axiomatic approach,अभिगहीती दृष्टिकोण
axiom of probability,प्रायिकता अभिगृहीत
axis,अक्ष
axis of abscissa,भुजाक्ष
axis of earth,भू-अक्ष
axis of revolution,परिक्रमण-अक्ष
axis of rotation,घूर्णन अक्ष
axis of spin,प्रचक्रण-अक्ष
back-substitution,पश्च-प्रतिस्थापन
backward difference,पश्चांतर
backward-interpolation formula,पश्च अंतर्वेशन-सूत्र
balance,"तुला, तराजू , संतु लन , शेष, बाकी , संतुलित होना, संतुलित करना"
balanced design,संतुलित अभिकल्पना
balance sheet,तुलन-पत्र
ballistic missile,प्रक्षेपास्त्र
ballistics,"प्राक्षेपिकी, अस्त्र विज्ञान"
bar," स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी , रोधिका, भित्ति , बार , रेखा, रेखिका , परीक्षण रेखा, धार"
base,"आधार , क्षारक , अधम , मूल , बेस"
base angle,आधार कोण
base of logarithm,"लघुगणक का आधार, लॉगरिथ्म का आधार"
basic,"आधारी, मूल,"
basic feasible solution,आधारी सुसंगत हल
basic solution,आधारी हल
basic variable,आधारी चर
basis,आधारक
basis element,आधार अवयव
basis matrix,आधारी आव्यूह
basis of a vector space,सदिश समष्टि का आधार
basis of subspace,उपसमष्टि का आधार
Bayesian estimate,बेज़-आकल
Bayes' law,बेज़-नियम
Bayes' theorem,बेज़-प्रमेय
Bernoulli distribution,बर्नूली-बंटन
Bernoulli number,बर्नूली संख्या
Bernoulli probability function,बर्नूली प्रायिकता-फलन
Bernoulli's equation,बर्नूली-समीकरण
Berry function,बेरी फलन
best fit,श्रेष्ठतम आसंजन
best - fit line,श्रेष्ठतम आसंजन रेखा
best solution,सर्वोत्तम हल
best strategies,सर्वोत्तम युक्तियाँ
beta distribution,बीटा बंटन
bias,"अभिनति, बायस"
biased estimate,अभिनत आकल
biharmonic equation,द्विप्रसंवादी समीकरण
bijection,एकैकी आच्छादन
bijective map,एकैकी आच्छादी प्रतिचित्र
bijective mapping,एकैकी आच्छादी प्रतिचित्रण
bilinear form,द्विएकघाती समघात
bilinear function,द्विरैखिक फलन
bilinear Hermitian form,द्विरैखिक हर्मिटीय समघात
binary,"द्वि-चर, द्वि-आधारी, द्वयी"
binary code,"द्वि-आधारी कोड, द्विआधारी कूट"
binary coded decimal,"द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव"
binary coding,द्वि-आधारी कूटलेखन
binary computer,द्वि-आधारी अभिकलित्र
binary digit,द्वि-आधारी अंक
binary operation,द्विआधारी संक्रिया
binary system,द्विआधारी पद्‌धति
binary variable,द्विआधारी चर
binomial coefficient,द्विपद गुणांक
binomial distribution,द्विपद बंटन
binomial equation,द्विपद समीकरण
binomial expansion,द्विपद प्रसरण
binomial expression,द्विपद व्यंजक
binomial random variable,द्विपद यादृच्छिक चर
binomial theorem,द्विपद-प्रमेय
bisection,"अर्धन, द्विभाजन"
bisection method,"समद्विभाजन विधि, अर्धीकरण विधि"
bisector,"अर्धक, द्विभाजक"
biserial,"द्विपंक्तिक, द्विश्रेणिक"
bit,"द्वयंक (द्विआधारी अंक) , अणी, बरमी , टूक"
bivariate binomial distribution,द्विचर द्विपद-बंटन द्विचल
bivariate correlation coefficient,द्विचर सहसंबंध गुणांक
bivariate distribution,द्विचर बंटन
bivariate normal distribution,द्विचर प्रसामान्य-बंटन
bivector,द्विसदिश
Boltzmann equation,बोल्ट्मान समीकरण
Boolean algebra,बूलीय बीजावली*
Bose - Einstein statistics,बोस-आइन्स्टाइन सांख्यिकी
boundary condition,परिसीमा प्रतिबन्ध
boundary layer,परिसीमा स्तर
boundary line,परिसीमा रेखा
boundary value,परिसीमा मान
boundary value problem,परिसीमा मान समस्या
bounded function,"परिबद्‌ध फलन परिबद्‌ध फल,"
bounded matrix,"परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी,"
bounded region,"परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश,"
bounded set,"परिबद्‌ध समच्चय परिबद्‌ध संच,"
Brownian motion,ब्राउनी गति
calculate,परिकलन करना
calculating,परिकलन
calculating machine,"परिकलन-यंत्र, परिकलित्र"
calculation,परिकलन*
calculational procedure,परिकलनात्मक क्रिया विधि
calculator," परिकलित्र , परिकलक"
calculus,"कलन, कैलकुलस"
calculus of variation,विचरण-कलन
calorie,कैलोरी
cancellation law,निरसन नियम
canonical equation,विहित समीकरण
canonical form,विहित रूप
canonical matrix,"विहित मैट्रिक्स, के नानिकल मैट्रिक्स"
Cantor set,कैन्टर समुच्चय
Cantor's ternary set,कैन्टर त्रिआधारी समुच्चय
capacitated transportation problem,परिबंधित परिवहन समस्या
capacity,क्षमता
capillary force,केशिका-बल
cardinal number,"गणन संख्या, कार्डिनल संख्या"
Cartesian axes,कार्तीय अक्ष
Cartesian coordinates,कार्तीय निर्देशांक
Cartesian product,कार्तीय गुणन
Cartesian product of sets,समुच्चयों का कार्तीय गुणन
case study,"केस अध्ययन, वस्तुस्थिति अध्ययन"
catastrophic fluctuation,विपत्तिपूर्ण उच्चावचन
Catenary,कैटिनरी
Cauchy distribution,कौशी बंटन
Cauchy formula,कौशी सूत्र
Cauchy Goursat theorem,कौशी-गूर्सा-प्रमेय
Cauchy Riemann conditions,कौशी-रीमान-प्रतिबंध
Cauchy sequence,कौशी अनुक्रम
Cauchy integral,कौशी समाकल
Cauchy principal value,कौशी मुख्य-मान
Cauchy residue theorem,कौशी अवशेष प्रमेय
Cayley Hamilton theorem,कैले-हैमिल्टन-प्रमेय
celestial body,"खपिंड, खगोलीय पिंड"
celestial measurement,खगोलीय माप
celestial mechanics,खगोलीय यांत्रिकी
celestial object,खगोलीय पिंड
cell frequency,कोशिका बारंबारता
census,"गणना , जनगणना"
centile,शततमक
centimeter,सेन्टीमीटर
centimeter gram second system,सेन्टीमीटर-ग्राम-सेकंड पद्‌धति
central,"केन्द्रीय , सकेन्द्र"
central axis,केन्द्रीय अक्ष
central difference,केन्द्रीय अंतर
central difference formula,केन्द्रीय अंतर सूत्र
central difference table,केन्द्रीय अंतर सारणी
central limit theorem,केन्द्रीय सीमा प्रमेय
central moment,केन्द्रीय आघूर्ण
central processing unit (C.P.U),केन्द्रीय संसाधन एकक
central tendency,केन्द्रीय प्रवतिृ
centre,केन्द्र*
centre of gravity,गुरुत्व-केन्द्र
centre of group,समूह-केन्द्र
centre of mass,संहति-केन्द्र
centre of symmetry,सममिति-केन्द्र
centrifugal force,अपकेन्द्री बल
centripetal force,अभिकेन्द्र-बल
centroid,"केन्द्रक मध्यगासंपात,"
certainty,निश्चितता
c.g.s. system,c.g.s.पद्‌धति
c.g.s. unit,c.g.s.मात्रक
chain rule of differentiation,अवकलन का शृंखला नियम
chance causes,संयोग हेतु
chance moves,सांयोगिक चाल
change of axes,अक्ष-परिवर्तन
change of basis,"आधार परिवर्तन पायाधार-बदल,"
change of order,क्रम परिवर्तन
characteristic coefficient,अभिलक्षणिक गुणांक
determinant,अभिलक्षणिक सारणिक
characteristic equation,अभिलक्षण-समीकरण
characteristic function,"अभिलक्षण-फलन, कैरेक्टेरिस्टिक फलन"
characteristic of logarithm,लघुगणक का पूर्णांश
characteristic polynomial,"अभिलक्षणिक बहुपद,"
characteristic value,अभिलक्षणिक मान
characteristic vector,अभिलक्षणिक सदिश
character set,संप्रतीक समुदाय
chart,"चार्ट, संचित्र तक्ता,"
chi-square distribution,काई-वर्ग बंटन
chi-square formula,काई-वर्गं सूत्र
chi-square test,काई-वर्ग परीक्षण
chord,जीवा*
chord-bisection method,जीवा-द्विभाजन-विधि
cipher message (=coded message),बीजलिखित संदेश
cipher (zero),"शून्य, सिफर"
circle,वृत्त*
circle of convergence,अभिसरण वत्तृ
circuit matrix,परिपथ आव्यूह
circular,"वृत्ताकार, वर्तुल,"
circular asymptote,वर्तुल अनंतस्पर्शी
circular helix,वृत्तीय कंडुलिनी
circular motion,वर्तुल गति
circumcentre,परिकेन्द्र
circumcircle,परिवृत्त*
circumscribe,"परिगत करना, परितः खींचना"
circumscribed,परिगत
circumscribed circle,परिवृत
classical deductive technique,चिरप्रतिष्ठित निगमनिक
classical dynamics,चिरप्रतिष्ठित गतिकी
classical optimization,चिरप्रतिष्ठित इष्टतमन
classical ruin problem,चिरप्रतिष्ठित वित्तनाश समस्या
classical statistical mechanics,चिरप्रतिष्ठित सांख्यिकीय यांत्रिकी
classification of errors,त्रुटियों का वर्गीकरण
class interval,वर्ग-अंतराल
class-interval unit,वर्गांतराल एकक
class limit,वर्ग-सीमा
clockwise,दक्षिणावर्त
clopen (= closed and open),संविवृत
closed,"संवृत, बंद"
closed convex hull,संवृत अवमख समावरक
closed cube,संवृत घन
closed curve,"बंद वक्र, संवृत वक्र"
closed domain,संवृत प्रांत
closed figure,बंद आकृति
closed interval,संवृत अंतराल
closed region,"संवृत प्रदेश, बंद प्रदेश"
closed set,संवृत समच्चय
closed surface,"बंद पृष्ठ, संवृत पृष्ठ"
closure," निमीलन, वेष्टन , संवरक"
closure operator,संवरण-संकारक (संवरक)
closure point (= contact point),संवरक-बिन्दु
closure postulate,संवरक-अभिगृहीत
closure set,संवरक समुच्चय
cluster point,गुच्छ बिन्दु
cluster sampling,गुच्छ प्रतिचयन
cluster set,गुच्छ समुच्चय
coaxial circles,समाक्ष वृत्त
coaxial parabolas,समाक्ष परवलय
coaxial planes,समाक्ष समतल
coaxial triangles,समाक्ष त्रिभुज
Cobb - Douglas function,कोब-डगलस फलन
coding," कूटलेखन, कोडन , संकेतन"
coding of data,सामग्री का संकेतीकरण
co-domain,सहप्रांत
coefficient matrix,गुणांक आव्यूह
coefficient of correlation,सहसंबंध-गुणांक
coefficient of determination,निर्धारण गुणांक
coefficient of elasticity,प्रत्यास्थता गुणांक
coefficient of expansion,प्रसार गुणांक
coefficient of friction,घर्षण गुणांक
coefficient of linear expansion,अनुदैर्घ्य प्रसार का गुणांक
coefficient of regression,समाश्रयण गुणांक
coefficient of surface tension,पृष्ठ तनाव का गुणांक
coefficient of variation,विचरण गुणांक
cofactor,"सह-खण्ड, सह गुणन खंड,सहकारक"
coin throw (coin toss),सिक्का उछाल
collection of sample,प्रतिदर्श-संचय
collinear,सरेख
collinearity,सरेखता
column,"स्तंभ, कॉलम"
column equivalence,स्तंभतुल्यता
column equivalent,स्तंभ-तुल्य
column equivalent matrix,स्तंभ तुल्य आव्यूह
column matrix,स्तंभ आव्यूह
column rank,स्तंभ कोटि
column reduced echolon matrix,स्तंभ समानीत सोपानक आव्यूह
column vector,स्तंभ सदिश
columnwise,स्तंभानुसार
combined equation,संयुक्त समीकरण
common angle,"उभयनिष्ठ कोण, सर्वनिष्ठ कोण"
common axis,सर्वनिष्ठ अक्ष
common base,"सर्वनिष्ठ आधार, उभयनिष्ठ बेस"
common denominator,सार्व हर
common difference,सार्व अंतर
common factor," सार्वगुणन-खंड, समापवर्तक , सार्व उपादान"
common logarithm,"साधारण लघुगणक, साधारण लॉगेरिथ्म"
common multiple,"सार्व गुणज, समापवर्त्य"
common ratio,सार्व अनुपात
common section,सर्वनिष्ठ परिच्छेद
common side,सर्वनिष्ठ भुजा
common tangent,"उभयनिष्ठ स्पर्शरखा, सर्वनिष्ठ स्पर्शरेखा"
common term,सर्वनिष्ठ पद
commutative law,क्रमविनिमेय नियम
commutative property,क्रमविनिमेय गुणधर्म
commutative rule,क्रमविनिमेय-नियम
commutative law of addition,योग का क्रमविनिमेय नियम
commutative law of multiplication,गुणन का क्रमविनिमेय नियम
commutative operation,क्रमविनिमेय संक्रिया
commutator group,क्रमविनिमेयक समूह
commuting of matrices,आव्यूहों का क्रमविनिमेय
compact set,संहत समुच्चय
comparability,"तुलनात्मकता, तुलनीयता"
comparision of means,माध्यों की तुलना
comparision of percentage,प्रतिशतता-तुलना
comparision test,तुलना परीक्षण
compatibility equation,सुसंगत समीकरण
competitive game,स्पर्धी खेल
competitive situation,स्पर्धी स्थिति
competitive strategy,स्पर्धी युक्ति
compiler," अनुभाषक , संकलक"
complementary,पूरक
complementary angle,पूरक कोण
complementary event पूरक घटना,पूरक घटना
complementary factor,पूरक कारक
complementary function,पूरक फलन
complementary half space,पूरक अर्ध समष्टि
complementary interval,पूरक अंतराल
complementary set,पूरक समुच्चय
complementation,"पूरकीकरण, पूरक-निर्धारण"
complement of a set,पूरक समुच्चय
complete census,पूर्ण गणना
complete correlation matrix,पूर्ण सहसंबंध मैट्रिक्स
complete metric space,पूर्ण दरीक समष्टि
complete orthonormal set,पूर्ण प्रसामान्यलांबिक समुच्चय
complete quadrangle,पूर्ण चतुष्कोण
complete quotient,पूर्ण भागफल
complete set,पूर्ण समुच्चय
complete solution,पूर्ण हल
completely randomised design,पूर्णतया यादृच्छिकीकृत अभिकल्पना
complex argument,सम्मिश्र स्वतंत्र चर
complex conjugate,सम्मिश्र संयुग्मी
complex differentiation,सम्मिश्र अवकलन
complex function,सम्मिश्र फलन
complex integration,सम्मिश्र समाकलन
complex matrices,सम्मिश्र आव्यूह
complex number,सम्मिश्र संख्या
complex number field,सम्मिश्र संख्या क्षेत्र
complex orthogonal matrix,सम्मिश्र लांबिक आव्यूह
complex plane,सम्मिश्र समतल
complex quantity,सम्मिश्र राशि
complex reciprocal,सम्मिश्र व्युत्क्रम
complex resultant,सम्मिश्र परिणामी
complex space,सम्मिश्र समष्टि
complex valued function,सम्मिश्रमानी फलन
complex variable,सम्मिश्र चर
componendo and divindendo,योगांतरानुपात
component," घटक , संबद्‌ध घटक"
component analysis,घटक विश्लेषण
component of variance,प्रसरण-घटक
component of vector,सदिश-घटक
composite function,संयुक्त फलन
composite hypothesis,संयुक्त परिकल्पना
composite number,भाज्य संख्या
composite series,संयुक्त श्रेणी
composition of vectors,सदिश-संयोजन
compound angle,मिश्र कोण
compound division,मिश्र भाग
compound fraction,मिश्र भिन्न
compound interest,चक्रवृद्‌धि ब्याज
compound probability,मिश्र प्रायिकता
compressible flow,संपीड्य प्रवाह
compression,संपीडन
computation,अभिकलन
computational formula,अभिकलनी सूत्र
computed value,अभिकलित मान
computer,"कंप्यूटर, अभिकलित्र (मशीन), अभिकलक (व्यक्ति)"
computer algorithm,अभिकलित्र कलनविधि
computer programme,अभिकलित्र क्रमादेश
computer programming,अभिकलित्र क्रमादेशन
computer simulation,अभिकलित्र अनुकार
computing,अभिकलन
concave function,उन्मुख फलन
concave polygon,अवतल बहुभुज
concave programming,उन्मुख क्रमादेशन
concentric circles,संकेन्द्री वतृ
concentric curves,संकेन्द्री वक्र
concrete form,मूर्त रूप
concurrency of lines,रेखाओं का संगमन
concurrent,संगामी
concurrent forces,संगामी बल
conditional density function,सप्रतिबंध घनत्व फलन
conditional distribution,सप्रतिबंध बंटन
conditional expectation,सप्रतिबंध प्रत्याशा
conditional mean,सप्रतिबंध माध्य
conditional probability,सप्रतिबंध प्रायिकता
condition of collinearity,सरेखता प्रतिबंध
condition of consistency,संगति प्रतिबंध
condition of integrability,समाकलनीयता का प्रतिबंध
condition of tangency,स्पर्श का प्रतिबंध
cone,"शंकु, कोन"
confidence interval,विश्वास्यता अंतराल
confidence interval estimate,विश्वास्यता अंतराल आकल
confidence limits,विश्वास्यता सीमाएँ
confidence region,विश्वास्यता क्षेत्र
conflict situation,विरोध स्थिति
confocal conics,संनाभि शांकव
confocal ellipses,संनाभि दीर्घवृत्त
confocal geometry,संनाभि ज्यामिति
confocal hyperbolae,संनाभि अतिपरवलय
confocal hyperboloids,संनाभि अतिपरवलयज
confocal parabola,संनाभि परवलय
confocal paraboloidal cordinates,संनाभि परवलयजीय निर्देशांक
conformal,"अनुकोण, अनुरूप"
conformal mapping,अनुकोण प्रतिचित्रण
congruence," सर्वांगसमता , द्विप्राचल रेखा-कुल , समशेषता"
congruence of circles,द्विप्राचल वृत्त-कुल
congruent," सर्वांगसम , समशेष"
congruent matrices,समतुल्य आव्यूह
conic,"शांकव, कॉनिक"
conical frustum,शंकु-छिन्नक
conical helix,शंकु-कुण्डलिनी
conical section,"शांकव काट,शांकव"
conics,शांकव गणित
conic section,"शंकु-काट, शंकु-परिच्छेद"
conjugate,"संयुग्मी (वि.), संयुग्मन होना (क्रि.)"
conjugate angles,संयुग्मी कोण
conjugate axis,संयुग्मी अक्ष
conjugate complex numbers,संयुग्मी सम्मिश्र संख्याएँ
conjugate directions,संयुग्मी दिशा
conjugate functions,संयुग्मी फलन
conjugate of matrix,मैटिक्स का संयुग्मी
conjugate permutation,संयुग्मी क्रमचय
conjugate transpose,संयुग्मी परिवर्त
conjuction,"योग, युति"
consecutive,क्रमागत
consecutive numbers,क्रमागत संख्याएँ
conservation of energy,ऊर्जा-संरक्षण
conservation of mass,संहति-संरक्षण
conservative,संरक्षी
consistency," संगति, अविरोध , गाढ़ता, गाढ़ापन"
consistency condition,संगति प्रतिबंध
consistent estimate,"संगत आकल, अविरोधी आकल"
consistent estimator,"संगत आकलक, अविरोधी आकलक"
consistent statistic,"अविरोधी प्रतिदर्शज, संगत प्रतिदर्शज"
consistent system,"संगत निकाय, अविरोधी निकाय"
consol,कन्सॉल
constant,"नियत, स्थिर, अचर, अचल, अपरिवर्ती, एकसमान"
constant acceleration,एकसमान त्वरण
constant function,अचर फलन
constant of gravity,गुरुत्वांक
constant of integration,समाकलन-अचर
constant of proportionality,आनुपातिकता स्थिरांक
constant parameter,अचर प्राचल
constant polynomial,अचर बहुपद
constant proportion,नियत समानुपात
constant speed,एकसमान चाल
constant term,अचर पद
constant velocity,एकसमान वेग
constitutive equation,रचक समीकरण
constraint,व्यवरोध
construct,"रचना करना, निर्माण करना"
construction,रचना
consumer preference,उपभोक्ता वरीयता
consumption function,उपभोग फलन
contact angle,स्पर्श-कोण
contact point,संपर्क बिंदु
contained in,अंतर्विष्ट
contingency table,आसंग सारणी
continuum mechanics,सांतत्यक यांत्रिकी
continued fraction,वितत भिन्न
continued product,वितत गुणनफल
continuity," सांतत्य , सातत्य"
continuity of function,फलन का सांतत्य
continuity test,सांतत्य परीक्षण
continuous," संतत, अखंड, अविछिन्न, अविरत , सतत"
continuous derivative,संतत अवकलज
continuous distribution,संतत बंटन
continuous from above,उपरितः संतत
continuous function,संतत फलन
continuously differentiable,संतततः अवकलनीय
continuous map,संतत प्रतिचित्र
continuous mapping,संतत प्रतिचित्रण
continuous probability density function,संतत प्रायिकता घनत्व फलन
continuous probability distribution,संतत प्रायिकता बंटन
continuous random variable,संतत यादृच्छिक चर
continuous sample space,संतत प्रतिदर्श समष्टि
continuous variable,संतत चर
continuous wave,संतत तरंग
continuum,"सांतत्यक, कन्टिनुअम"
continuum hypothesis (= continuum axiom),सांतत्यक-अभिगृहीत
continuum of real numbers (= set of real numbers),वास्तविक-संख्या समुच्चय
continuum theory,सांतत्यक सिद्‌धांत
contour integration,कन्टूर समाकलन
contraction mapping,संकुचन प्रतिचित्रण
contradiction,विरोध
contravariant,प्रतिपरिवर्त
control,नियंत्रण
control chart,नियंत्रण-संचित्र
control chart for averages,माध्यों का नियंत्रण संचित्र
control chart for defects,दोषों का नियंत्रण
control chart for ranges,परिसरों का नियंत्रण
control chart for variables,चरों का नियंत्रण
converge,"अभिसरित करना, अभिसरित होना"
convergence in mean,माध्य अभिसरण
convergence in mean square,वर्ग माध्य अभिसरण
convergence in probability,प्रायिकता में अभिसरण
convergence limit,अभिसरण सीमा
convergence radius,अभिसरण त्रिज्या
convergence region,अभिसरण प्रदेश
convergent,"अभिसारी (क्रि.), अभिसरक (सं.)"
convergent sequence,अभिसारी अनुक्रम
convergent series,अभिसारी श्रेणी
converse,"विलोम, विपरीत"
conversely,"विलोमतः व्यत्यासाने,"
conversion fraction,रूपांतरण भिन्न
conversion table,रूपांतरण सारणी
convex,अवमुख
convex body,अवमुख पिंड
convex combination,अवमुख संयोजन
convex cover (=convex hull),अवमुख समावरक
convex function,अवमुख फलन
convex linear combinations,अवमुख रैखिक संचय
convex linear programming,अवमुख रैखिक प्रोग्रामन
convex metric space,अवमुख दूरीक समष्टि
convex polyhedron,अवमुख बहुफलक
convex programming,अवमुख प्रोग्रामन
convex region,अवमुख प्रदेश
convex set,अवमुख समुच्चय
convolution,संवलन
convolution integral,संवलन समाकल
convolution theorem (= faltung theorem),संवलन प्रमेय
