"absurdity","अनर्थकता, असंगति, मूर्खता, अयुक्त वा अनर्थक वस्तु, बेहूदगी",
"abundant","ढेर, अधिक, बहुत, घनेरा, पर्याप्त, प्रचुर",
"abuse","बुरा बर्ताव, अनुचित व्यवहार, कुप्रयोग, अपप्रयोग, कुरीति, गाली, दुर्वचन",
"abuse","बुरा बर्ताव करना, गाली देना, हानि पहुचाना, बुराई करना, निंदा करना",
"abusive","निन्दक कुत्सावादी, गाली देने वाला मुंहफट निन्दात्मक",
"abut","मिलना, भिडना, आमने सामने होना",
"abyss","गहरा कुंड, अतल समुद्र, नरक कुंड",
"academic","विद्यालय वा विद्वत्परिषद सम्बन्धी, अक्रियात्मक, सिद्धांत विषयक",
"academic","उच्च श्रेणी का विद्यार्थी,प्लैटो की प्रणाली का तत्ववेत्ता",
"accede","स्वीकार करना, मान लेना, सहमत होना",
"accelerate","चाल बढाना, फुर्ती करना, शीघ्रता करना, गति वृद्धि करना",
"acceleration","चाल बढाना, फुर्ती, शीघ्रता, गति वृद्धि, वेगान्तर",
"accent","स्वर का चढाव उतार, स्वर,आघात, जोर, उच्चारण चिह्न,भाषा",
"accent","स्वर उच्चारण करना या प्रकट करना",
"accentuate","जोर देना, शब्द के उच्चारण पर गुरुत्व का चिह्न लगाना",
"accept","मानना, स्वीकार करना, सहमत होना, भाना, सुहाना,ग्रहण करना, लेना, पाना,सकारना( हुंडी आदि) ना",
"acceptable","मनभावना, स्वीकारयोग्य, भला, अच्छा, ग्रहणीय, रुचिर",
"acceptance","स्वीकार, प्रतिग्रह, स्वागत, मान लेना,सकार,स्वीकारी हुई हुंडी",
"access","पहुंच, पथ, मार्ग, प्रवेश,वृद्धि, बढती, दौरा, चढाव",
"accessible","अभिगम्य, पहुंचने योग्य, सुलभ, सुगम, प्राप्य, मिलनहार",
"accession","वृद्धि, बढती, पहुंच,आरोहण, प्राप्त, अभिषेक, राजतिलक",
"accessory","सहायक, साथ देने वाला,अधिक, सहित, गौण, अनावश्यक",
"accessory","सहायक, अपराध आदि में संगी, साथी, सहकारी,ऊपरी या बाहरी वस्तु, अधिक वस्तु",
"accident","संयोग, घटना, दैवयोग, विपद, दुर्घटना,अनावश्यक गुण, असहजो गुण",
"accidental","सांयोगिक, अकस्माती, दैवायत्त,अनावश्यक, अप्रकृत, असहज",
"acclaim","वाह वाह करना, जय जयकार करना, जयध्वनि करना, स्तुति करना",
"accommodate","देना, पहुंचाना, सुविधा करना, उपयोगी करना, समाना",
"accommodation","जगह, स्थान, गृह, निवास स्थान,संयोजन, संधान, सुविधा, मिलाप, संविधान,सुशीलता, सौजन्य",
"accompany","साथ होना, साथ देना, साथ आना या जाना,सेवा टहल के हेतु उपस्थित रहना",
"accomplice","सहापराधी, अपराध में साझी, जुर्म में साथी",
"accomplish","पूरा करना, संपूर्ण करना, सिद्ध करना, निबाहना",
"accomplished","विद्यासंपन्न, सुशिक्षित, प्रवीण, गुणवन्त, निपुण, शिष्ट, सम्पन्न, सिद्ध",
"accomplishment","परिपूर्णता, प्राप्ति, सिद्धि, निपुणता, गुण",
"accord","मेल, मिलाप, संमति, एकचित्तता, एकदिली, ( संगीत में) एकताल",
"accord","मिलना, सुर मिलना, एकचित्त होना",
"accord","मिलाना, मनाना, एकचित करना, बराबर करना,देना, प्रदान करना",
"accordance","मेल, एकता, ताल मेल, समानता, अनुसार, सादृश्य, अनुरूपता",
"according","समान, मिलता हुआ, अनुसार, अनुरूप",
"accordingly","तदनुसार, इस कारण से, इसलिये, इस रीति से, परिस्थिति के अनुसार",
"accost","संभाषण करना, पहले टोकना, पहले बोलना, मिलना, कुशलमंगल पूछना",
"account","गणना, लेखा, हिसाब,वर्णन, कथा, वृत्तान्त,पूछताछ, जांच, गिनती, गणना, कारण, हेतु,मूल्य",
"account","उत्तर देना, कारण बतलाना,हिसाब देना या बतलाना",
"account","गणना करना, समझना, जानना, मान करना",
"accountable","उत्तरदायी, जिम्मेदार, जिसे हिसाब या लेखा देना पडे",
"accountancy","गणक का काम या पद, हिसाब किताब",
"accountant","मुनीम, वह जो लेखा भली प्रकार समझता हो, हिसाब रखने वाला गणक",
"accredit","विश्वास करना, अधिकार देना, अधिकार पत्र के साथ( राजदूत आदि) भेजना, प्रतीत पत्र देना",
"accrue","उत्पन्न होना, लाभ होना, प्राप्ति होना, मिलना, निकलना",
"accumulate","इकठ्ठा करना, ढेर लगाना, बटोरना, जोडना",
"accumulation","ढेर, संचय, जमाव, बटोर",
"accuracy","शुद्धता, यथार्थता, सत्यता, सूक्ष्मता",
"accurate","सही, ठीक, यथार्थ, शुद्ध, अचूक, सूक्ष्म",
"accuse","दोष लगाना, अपराधी ठहराना, भला बुरा कहना",
"accused","अभियुक्त, मुलाजिम, जिस पर अपराध या दोष लगाया गया हो",
"accuser","दोष लगाने वाला, निन्दकवादी, अभियोगी",
"accustom","आदत डालना, परिचित करना, अभ्यस्त करना, अभ्यास करना, सधाना",
"accustomed","अभ्यस्त, परिचित, आदि, अभ्यासी, अभ्यास पडा हुआ",
"ace","इक्का( ताश का) , बिन्दी,इकाई, अणु, लव",
"ache","पीडा, दर्द, वेदना, व्यथा",
"ache","दर्द करना, पिराना, दु:खना",
"achieve","पूरा करना, निबाहना, अन्त को पहुंचाना, पाना, प्राप्त करना, जीतना",
"achievement","पराक्रम, वीरता का काम, करतूत,साधन प्राप्ति, पूरा करना",
"acid","अम्ल, खट्टा, तुर्श, तीक्ष्ण, तीव्र, चूक",
"acid","खटाई, अम्ल, तेजाब",
"acidity","खट्टापन, तुर्शी, अम्लता, तीक्ष्णता",
"acknowledge","स्वीकार करना, मानना, अंगीकार करना, रसीद लिखना या देना",
"acknowledgment","स्वीकार, अंगीकार,रसीद,धन्यवाद, कृतज्ञता",
"acme","पराकाष्ठा, शिखर, ऊंचाई की सीमा, अन्त",
"acorn","शाहबलूत का फल या बीज",
"acquaint","परिचित करना, चिह्न पहचान करना,जताना, समाचार देना, चेता देना",
"acquainted","परिचित, अभ्यस्त, अभिज्ञ",
"acquiescence","प्रसन्नता पूर्वक अंगीकार, सम्मति, अनुमति",
"acquire","पाना, हासिल करना, प्राप्त करना, कमाना",
"acquisition","उपार्जन, प्राप्ति, लाभ",
"acquisitive","प्राप्ति वा लाभ का इच्छुक",
"acquit","अपराध से मुक्त करना, निर्दोषी ठहराना, छोड देना, छुटकारा देना",
"acquittal","छुटकारा, मुक्ति, रिहाई",
"acre","( 4, 84०) वर्ग गज भूमि, एकड",
"acrid","चरपरा, कडुआ, तीता, झालदार, गरम, कटु, तीक्ष्ण",
"acrimony","कडुवापन, तेजी, चरपराहट, कठोरता, तीक्ष्णता, कटुता",
"acrobat","नट, नेटुआ, नट खेल दिखाने वाला",
"across","आरपार, आडा, बडा, तिरछा, पार",
"act","क्रिया करना,व्यापार, काम, कर्म, कृति, करतूत, चरित,विधान, विधि, नियम, व्यवस्था, कानून",
"act","कुछ करना, क्रिया या कार्य करना,असर करना, गुण करना,व्यवहार करना,किसी के बदले काम करना",
"act","करना, पूरा करना, सम्पादन करना, निबाहना,नकल करना, अनुकरण करना",
"acting","स्थानपन्न, एवज, किसी के स्थान में या कुछ समय के लिये काम करता हुआ",
"acting","अभिनय, नाटक में खेल करना",
"action","काम, क्रिया, कार्य, व्यापार, करतूत, चाल, भाव,संग्राम, युद्ध, लडाई,मुकदमा, अभियोग",
"active","कर्ता, गुणी, क्रियाशील, उद्यमी, स्फूर्तिमान, फुर्तीला, परिश्रमी, कामकाजी",
"activity","फुर्ती, शीघ्रता, वेग, उद्योगिता, क्रियाशीलता,चाल",
"actual","यथार्थ, ठीक, सत्य निश्चय, अकाल्पनिक, वास्तविक",
"actuality","वास्तविकता, यथार्थता, सत्यता",
"actually","वस्तुत:, वास्तव में, सचमुच, ठीकठीक",
"actuary","मुंशी, लेखक, मुहर्रिर, मुनीम",
"acumen","तीव्र दृष्टि, चतुरता, अतिसूक्ष्मता",
"acute","तीक्ष्ण, तीव्र, चतुर, चालाक, तेज, सूक्ष्ममति, चुभता हुआ,घातक, दारुण( रोग) ,तीक्ष्ण शिताग्र",
"adage","कहावत, मसल, प्रवाद, वचन, उक्ति",
"adamant","हीरा, मणि,अटल, वज्र",
"adapt","एक समान करना, उपयोगी या योग्य बनाना, कोई दृढ धारणा करना",
"adaptation","मेल, संयोग, समतुल्यता, अनुकूलता, संयोजन, संविधान",
"add","जोडना, बढाना, मिलाना, लगाना, और कुछ कहना",
"addendum","जो कुछ जोडा गया हो, जोडी हुई वस्तु, परिशिष्ट",
"addict","अपने को लगा देना, आदत डालना, लत डालना",
"addition","जोड, संकलन, योग, आधिक्य, अधिकता,जोडी हुई वस्तु, परिशिष्ट,उपाधि",
"additional","अतिरिक्त, अधिक, अपर, अधिकतर, न्यूनता पूरक",
"addle","ऊसर, निकम्मा, गंदा, सडा, खाली",
"address","भाषण, व्याख्यान, संबोधन,अभिनन्दन पत्र,सिरनामा, ठिकाना, पता,निवेदन, दक्षता, पटुता, रीति",
"address","बोलना, निवेदन करना,पता लिखना,व्याख्यान देना,अपने को किसी काम में लगाना या प्रवृत करना",
"adept","दक्ष, प्रवीण, निपुण, पक्का, गुणी, कुशल, अभिज्ञ",
"adept","प्रवीण जन, उस्ताद, पंडित, कारीगर, दक्ष पुरुष",
"adequate","तुल्य, बराबर, काफी, पर्याप्त, योग्य, यथोचित, अनुरूप",
"adhere","चिपटना, लग जाना, मानना, पक्का रहना, दृढ रहना",
"adherence","प्रेम, लगाव, भक्ति, धैर्य, अवलम्बन",
"adherent","साथी, अनुयायी, सहायक, पक्षीय,चिपटा हुआ, निर्भर, अवलम्बी",
"adjacent","पास का, निकटवर्ती, सटा हुआ, आसन्न, समीप",
"adjective","आश्रित, अवलम्बित",
"adjective","विशेषण, गुणवाचक शब्द",
"adjoin","लगा होना, जुटा होना, समीप होना",
"adjoin","मिलाना, संयुक्त करना, निकट करना, लगाना, जोडना",
"adjoining","समीप, निकटवर्ती, पास का, लगा हुआ",
"adjourn","कार्यवाही स्थगित करना, कुछ समय के लिये विसर्जित होना,अनियत समय के लिये कार्यवाही स्थगित करना",
"adjourn","रोक रखना, बन्द करना, टालना, स्थगित करना",
"adjournment","थोडे दिन के लिये रोक रखना, स्थगित करना, मुल्तवी करना, रुकावट,कार्यवाही बंद रहने का समय",
"adjunct","सहित, संयुक्त, मिला हुआ",
"adjunct","जोड, गुणवाचक शब्द, अनुबंध, आधिक्य",
"adjust","ठीक करना, सुधारना, संवारना, सुलझाना, तै करना, चुकाना, मिलाना,धरा बांधना",
"adjustment","फैसला, सुधार, समाधान, समायोग, मिलाना, एक करना, निपटारा",
"adjutant","एक सैनिक पदाधिकारी( मेजर का सहायक) ,गरुण, खगेश, हरगीला",
"administer","शासन करना, चलाना, प्रबन्ध करना,देना, दिलाना, लगाना",
"administration","कारोबार का प्रबन्ध, शासन प्रबन्ध, शासन न्याय विवेचन, राज",
"administrative","प्रबंधकारी शासन संबन्धी, कुशल, शासन वा प्रबंध संबंधी",
"admiral","जलसेना का प्रधान सेनापति, नौका सेनाध्यक्ष",
"admiralty","जलसेना संबंधी विषय के प्रबन्धकर्ताओं की मण्डली, जलसेना विभाग",
"admiration","प्रेम वा आदरयुक्त आश्चर्य, श्रद्धा, विस्मय, अचम्भा, स्नेह, प्रशंसा, सराहना",
"admirer","प्रशंसक, सराहने वाला, प्रेमी, प्रेमिक",
"admissibility","ग्राह्यता, ग्रहण किये जाने की योग्यता, अंड्गीकार किये जाने की योग्यता",
"admission","प्रवेश, पैठ, पहुंच, प्रवेशन, स्वीकृति, अंगीकार,प्रवेशाधिकार पत्र",
"admit","प्रवेश कराना, आज्ञा देना,आने देना,सत्य मानना, स्वीकारना, हां करना, मान लेना, अनुमति देना",
"admonish","समझाना, नम्रता से झिडकना,शिक्षा देना, जताना, कान खोलना",
"admonition","डांट,परामर्श, शिक्षा, उपदेश, चेतावनी, अनुशासन",
"ado","श्रम, कष्ट, दौड धूप, बखेडा, झमेला",
"adolescence","किशोरावस्था, युवावस्था, जवानी, तरुणाई, यौवन",
"adolescent","किशोर, युवक, तरुण",
"adopt","गोद लेना, पालन करना, धारण करना, इच्छा से ग्रहण करना, अंगीकार करना",
"adoption","स्वीकार, गोद लेना, पुत्रीकरण, धारण करना, परिग्रह करना",
"adore","बहुत चाहना, बहुत प्रेम करना, पूजा करना, आदर सत्कार करना, आराधना करना",
"adorn","सजाना, संवारना, श्रृंगार करना, सुशोभित करना, आभूषित करना",
"adrift","इधर उधर, बहता हुआ, डावांडोल, निरावलंब",
"adroit","चतुर, निपुण, दक्ष, धूर्त, चालाक, सुजान, चेष्टावत",
"adulation","चापलूसी, चिकनी चुपडी बातें, चाटूक्ति, अतिप्रशंसा",
"adult","परिपक्व, तरुण, वय:प्राप्त, पौढ",
"adult","युवा पुरुष, वय:प्राप्त वा प्राप्त यौवन मनुष्य",
"adulterate","मिलाकर बिगाडना, खोट मिलाना, मिलावट करना",
"adultery","व्यभिचार, परस्त्रीगमन, जारकर्म, छिनाल, पतिलंघन",
"advance","उन्नति, बढोतरी, वेशी, बढती,पेशगी, अगवाई, उधार",
"advance","आगे बढाना,उन्नति करना,बढना",
"advance","उपस्थित करना, सामने रखना, ऊंचा करना, मंहगा करना, मोल बढाना,उधार देना, पेशगी देना",
"advancement","उन्नति, वृद्धि, उत्कर्ष, अभ्युदय",
"advantage","बढत, आधिक्य, भला अवसर,सुअवसर, फल, अर्थ, प्राप्ति, लाभ",
"advantageous","लाभदायक, हितकारी, उपकारी, हितकारी",
"advent","यशूक्रीस्त का आगमन,बडे दिन से पहले चार सप्ताह,, आगमन",
"adventure","साहस, देवाधीन कर्म, दुष्कर कार्य, जोखिम का काम, ध्यान देने योग्य घटना",
"adventure","साहस करना, जान जोखिम में डालना, जान पर खेलना, खतरे मे डालना",
"adventurer","साहसिक, साहस व्यवसायी,भले बुरे किसी प्रकार से धन उपार्जन करने वाला पुरुष",
"adventurous","सूरमा, बहादुर, साहसी, शूरवीर, उद्योगी",
"adversary","रिपु, शत्रु, अरि, विरोधी, वादी, प्रतिवादी, विपक्षी",
"adverse","प्रतिकूल, विपरीत, विरुद्ध,अभागा, बाम,दरिद्र",
"adversity","आपदा, विपत्ति, दु:ख, दुर्भाग्य, दुर्दिन",
"advertise","प्रकाश करना, विज्ञापन देना, प्रसिद्ध करना, जताना, फैलाना, छपवाना",
"advertisement","विज्ञापन, समाचार पत्र आदि में सूचना, घोषणा",
"advertiser","विज्ञापन या सूचना देने वाला, वह पत्र जिसमें केवल विज्ञापन ही छपता हो",
"advice","सलाह, परामर्श, मंत्र, उपदेश,खबर, समाचार, वार्ता",
"advisable","उचित, योग्य, चाहने योग्य, ठीक परामर्श देने योग्य",
"advise","ध्यान करना, विचार करना, राय लेना",
"advise","शिक्षा वा सलाह देना, उपदेश देना, समझाना,बतलाना, समाचार देना",
"advisory","परामर्श देने वाली, शिक्षाप्रद, उपदेश पूर्ण",
"advocacy","वकालत, बहस, पक्षसमर्थन, सिफारिश, रक्षा, प्रतिपालन",
"advocate","वकील, सलाहकार, पक्ष करने वाला, पक्षसमर्थक, मुखतार, मध्यस्थ,रक्षक",
"advocate","वकालत करना, पक्षसमर्थन करना, रक्षा करना, पक्ष लेना",
"aerial","नभस्थ, आकाशज, हवाई, आसमानी, वायुविषयक,ऊंचा, अति उच्च आकाशीय",
"aeroplane","वायुयान, एक प्रकार का हवाई जहाज",
"aesthetics","वस्तुओ में सौंदर्य का अनुभव",
"afar","फासले पर, दूर, बहुत परे",
"affable","मिलनसार, सुशील, मधुर भाषी",
"affair","काम, कार्य, व्यापार, उद्यम, व्यवहार, कारोबार, मामला,छोटी लडाई, झगडा",
"affect","प्रभाव डालना, असर करना,व्यापना, चुभना, दिल पर लगना, दिल पिघलाना,चाहना, प्यार करना",
"affection","प्रेम, स्नेह, मोह, लगाव, अनुराग, आसक्ति,रोग",
"affectionate","प्यारा, प्रेमी, स्नेही, प्रिय",
"affectionately","प्यार से, प्रेम से, स्नेह से, अनुराग सहित",
"affidavit","शपथ लेख, शपथ पत्र",
"affiliate","लेपालक करना, गोद लेना,संबद्ध कराना, साथ लगाना,सभासद बनाना",
"affinity","सम्बन्ध, रिश्तेदारी, विवाह द्वारा सम्बन्ध, बन्धुत्व,सादृश्य, समानता",
"affirm","प्रतिज्ञा करना, वचन देना, पक्का करके कहना,मान लेना, स्वीकार करना",
"affirmation","धर्मानुकूल कहना, दृढ वचन, प्रतिज्ञा, वर्णन, कथन",
"affirmative","स्वीकार सूचक, इकरारी, हां प्रकट करने वाला",
"affirmative","स्वीकार सूचक शब्द जैसे हां",
"affix","प्रत्यय, विभक्ति जो शब्द में लगाई जाये",
"affix","जोडना, लगाना, बढाना, मिलाना, संयोजित करना",
"afflict","दु:ख देना, कष्ट देना, सताना, विपदा में डालना, खिजाना",
"affliction","दु:ख, शोक, कष्ट, व्यथा, विपद, रोग",
"affluence","बहुतायात, बाहुल्य, विपुलता, समृद्धि,धन, द्रव्य",
"affluent","समृद्ध, परिपूर्ण, भरापूरा, धनी, धनवान",
"afford","खर्च कर सकना, खरीद सकना, बेच सकना, समाये रखना,देना, उत्पन्न करना, पहुंचाना, जुटाना",
"affront","अपमान, निरादर, अवज्ञा, तिरस्कार",
"affront","तिरस्कार करना, अपमान करना, दुखित करना",
"afield","खेत में, मैदान में, खेत को",
"aflame","जलता हुआ, प्रज्वलित",
"afloat","बहता हुआ, तैरता हुआ, पानी पर, समुद्र में,अस्थिर, अशान्त, जारी",
"afoot","पांव पांव, पैदल चलकर",
"afraid","डरा हुआ, भयभीत, कान खडे, भीरु, भयान्वित",
"aft","पीछे, जहाज के पिछले भाग की ओर या उसके निकट",
"after","पीछे, पश्चात, ढंग पर, अनुकूल, अनुसार, अनुरूप",
"after","किसी के पीछे पीछे, देखा देखी, होडी होडा",
"afternoon","दुपहर के बाद, तीसरा पहर, अपराह्न",
"afterthought","पीछे का विचार, किसी कार्य के पश्चात का विचार",
"afterward","तत्पश्चात, इसके बाद, पीछे, अनन्तर",
"again","फिर, दुबारा, पुन:, एक बार और, उल्टा, बदले में",
"against","उल्टा, आमने सामने, सम्मुख, विरुद्ध,लिये, हेतु, निमित्त, बजाय",
"agate","सुलेमानी पत्थर, यश",
"age","जीवन काल, अवस्था, आयु,प्रौढ अवस्था,युग, काल, समय,पीढी,शताब्दी",
"aged","वयोवृद्ध, बुड्ढा,आयु का",
"aged","वृद्ध लोग",
"agency","कर्तृत्व, गुमाश्तागीरी, प्रतिनिधित्व, आढत,साधन, कारण, यन्त्रित्व",
"agenda","करने वाली कार्यवाही, सभा आदि में विचारने के विषय स्मरण लेख की पुस्तक",
"agent","गुमाश्ता, मुनीम, आढतिया, कारिन्दा, प्रतिनिधि,कर्ता, शक्ति",
"aggravate","बढाना, ज्यादा संगीन करना, अति निकृष्ट करना, भडकाना, भारी करना",
"aggravation","अधिकाई, बुराई, संगीनी, भडकाव,उद्दीपन",
"aggregate","कुल, सकल, सब, समुदित, एकत्रित अंशो से बना हुआ",
"aggregate","जोड, ढेर, योगफल, समूह, संग्रह",
"aggregate","संग्रह करना, संचित करना, इकठ्ठा करना, एकत्र करना, ढेर करना",
"aggression","आक्रमण, आघात, चढाई, छेड, अपहरण, पराधिकार, प्रवेश",
"aggressor","लडाई या छेड में अगुआ, छेडनहार, आक्रमण करने वाला",
"aggrieve","शोक करना, खेद करना",
"aggrieve","दु:ख देना, सताना, तकलीफ देना, अत्याचार करना",
"aghast","हक्का बक्का, भौंचक्का, व्याकुल, आश्चर्यान्वित, भय से चकित",
"agile","फुर्तीला, चालाक, तेज, चपल, स्फूर्तिमान",
"agitate","खलबली डालना, भडकाना, हलचल मचाना, घबडा देना, हिला देना,वाद विवाद करना",
"agitation","उमड, धडक, घबडाहट, हैरानी, हलचल, बेचैनी, अकुलाई, आन्दोलन,वादविवाद, विचारणा",
"ago","बीता हुआ, पूर्व",
"agonize","अत्यन्त पीढित होना, व्यथित होना",
"agonize","दु:ख या क्लेश देना",
"agony","अति पीडा, सन्ताप, व्यथा, वेदना, मृत्यु यन्त्रणा, यातना",
"agrarian","भूमि विषयक, भूमि सम्बन्धी, ग्राम्य",
"agree","एक होना, एक मत होना, मिलना, एक ताल होना, स्वीकृति देना,सदृश होना, समान होना",
"agreeable","उपयोगी, मनभावन, सुहावना, प्रिय, अनुरूप,सम्मत",
"agreement","ऐक्य, सम्मति, ताल मेल,संविद, प्रण, वचन,सादृश्य, समानता,लिखित पत्र, स्वीकार पत्र",
"agricultural","खेती बारी का, कृषि सम्बन्धी, खेत का",
"agriculture","खेती, कृषि, खेत जोतने का काम",
"aground","धरती पर अटका या फंसा हुआ, टिका हुआ",
"ah"," विस्मय, दया, घृणा, आनन्द या दु:ख सूचक शब्द, आह, हाय, ओहो, अह:, अहो",
"ahead","आगे, अगाडी, बढ के, सामने",
"aid","मदद, सहारा, सहायता, रक्षा, पालन,मददगार, सहायक",
"aid","मदद करना, सहायता करना, सहारा देना",
"ail","बीमारी, रोग",
"ail","दु:ख वा पीडा में होना, बीमार होना, व्याधि में होना",
"ail","दु:ख देना, पीडा देना",
"ailment","कष्ट, पीडा, रोग, बीमारी, व्याधि, विकार",
"aim","लक्ष्य साधन, निशाना, ताक, सीध,प्रयत्न, कोशिश, अभिप्राय, उद्देश्य, आशय, लक्ष्य",
