English,Hindi
reaction,"['अभिक्रिया(BT),अभिक्रिया(CH), अभिक्रिया (PH)']"
stage,['अवस्था(PH)']
loading,['भारण(CH)']
distribution,"['वितरण(CH),वितरण(PH)']"
viscous,['श्यान(PH)']
matching,"['मिलान(IT),सुमेलन(PH)']"
equilibrium,"['साम्यावस्था(MA),1. साम्य(CH),साम्यावस्था(PH)']"
composite,"['संयुक्त(IT),संयुक्त(PH)']"
double,"['द्वि(CH),द्वि(PH)']"
base,"['1.आधार 2. क्षारक 3. अधम 4. मूल 5. बेस(MA),1. आधार 2. क्षारक 3. मूल(CH)']"
inhibition,"['संदमन(BT),निरोध(CH)']"
insulation,"['1. विद्युत् रोधन 2. ऊष्मा रोधन(CH),रोधन(PH)']"
mechanical,"['1. यांत्रिक 2. बलकृत(CH),बलकृत(PH)']"
properties,['गुणधर्म(PH)']
linear,"['रेखीय(MA),1.रैखिक (BT),रैखिक(CH),1.रैखिक(IT)']"
regression,['विक्री गति(PH)']
mode,"['1. बहुलक(MA),विधा(CH),विधि(PH)']"
mechanism,"['1. क्रियाविधि 2. यांत्रिकत्व 3. यंत्रावली(CH),क्रियाविधि(PH)']"
stability,['स्थायित्व(PH)']
motor,['प्रेरक(PH)']
operation,"['प्रचालन(MA),1.संक्रिया(IT)']"
neutral,"['1. उदासीन 2. अनावेशी(CH),उदासीन(PH)']"
extinction,"['विलोपन(CH),विलोप(PH)']"
termination,['समापन(IT)']
device,"['युक्ति(CH),युक्ति(IT)']"
head,['1. शीर्ष(CH)']
drop,"['1. बूंद(CH),पात(IT)']"
pressurization,['निपीडन(PH)']
generator,['जनक (PH)']
cavitation,['कोटरन(CH)']
film,['फिल्म (PH)']
sink,['अभिगम(PH)']
radiation,['विकिरण(CH)']
regenerative,['पुनर्जननी(PH)']
comparison,['तुलना(PH)']
clustering,['गुच्छन(CH)']
c,['सी (कंप्यूटर भाषा)(IT)']
intermediate,"['मध्यवर्ती(MA),मध्वर्ती(PH)']"
analytical,['विश्लेषीय(PH)']
rating,['अनुमतांक(PH)']
growth,"['वृद्\u200cधि(MA),वृद्धि(BT),वृद्धि(IT),वृद्धि(PH)']"
response,"['अनुक्रिया(BT),उत्तर(PH)']"
function,"['1. प्रकार्य 2. फलन(MA),1. प्रकार्य 2. फलन(CH),1.प्रकार्य(IT),प्रकार्य (PH)']"
atmospheric,['वायुमंडलीय(PH)']
derived,['व्युत्पन्न(PH)']
structure,['संरचना(PH)']
electrical,['वैद्युत(PH)']
plasma,"['प्लाज्मा(MA),प्लाज्मा(PH)']"
table,"['तालिका(MA),1. तालिका (CH),तालिका(IT)']"
atmosphere,"['1. वायुमंडल 2. ऐटमॉस्फियर (दाब का मात्रक) 3. परिमंडल(CH),वायुमंडल(PH)']"
second,['सेकंड (सं.)(PH)']
essential,"['सारभूत(MA),1. सारभूत(CH),अनिवार्य(PH)']"
hot,['तप्त(CH)']
expand,['प्रसार करना(PH)']
propeller,['नोदक(PH)']
integral,"['1. समाकल 2. पूर्णांकीय(MA),1. समाकल 2. पूर्णांकी 3. संपूर्ण(CH),समाकल(PH)']"
pulse,"['स्पंद(IT),दाल(PH)']"
jet,"['जेट(CH),जेट(PH)']"
element,"['1. तत्व 2. अल्पांश 3. अवयव(MA),तत्व(IT),तत्व (PH)']"
case,"['1. विषय प्रकरण 2. स्थिति 3. कोश 4. केस रोगी(CH),केस(IT)']"
figure,['1. अंक 2. आकृति(CH)']
configuration,"['1.संविन्यास(IT),विन्यास(PH)']"
shaft,['1. कूपक(CH)']
record,"['अभिलेख(IT),रिकार्ड(PH)']"
radial,"['त्रिज्य(MA),त्रिज्य(CH)']"
measure,"['1. माप 2. संस्तर(CH),माप(PH)']"
ratio,"['अनपातु(MA),अनुपात(PH)']"
output,"['निर्गत(MA),निर्गम(CH),निर्गत(PH)']"
constant,"['नियत(MA),1. सतत 2. नियत 3. स्थिर(CH),1.नियतांक(IT),नियत(PH)']"
volume,"['1. आयतन 2. प्रबलता 3. अनुभाग(MA),१.आयतन २.प्रबलता ३.अनुभाग(PH)']"
density,"['1. घनत्व 2. सघनता(MA),1. घनत्व 2. सघनता(CH),1.घनत्व(IT),घनत्व (PH)']"
expression,"['1. निष्पीडन 2. व्यंजक 3. मुखाकृति(MA),1. व्यंजक 2. मुखाकृति (CH),1. अभिव्यक्ति (IT),निष्पीडन (PH)']"
product,"['1. उत्पाद 2. गुणनफल(MA),1. उत्पाद 2. गुणनफल(CH),उत्पाद(PH)']"
conversion,"['रूपांतरण(CH),रूपांतरण(IT),रूपांतरण(PH)']"
clear,['अपमार्जन(IT)']
proportional,"['समानुपातिक(MA),आनुपातिक(CH)']"
increase,['वृद्\u200cधि(MA)']
row,['पंक्ति(MA)']
cylinder,"['बेलन(MA),बेलन(PH)']"
fixed,['यौगिकीकृत(PH)']
transmitted,['पारगत(PH)']
speed,['चाल(CH)']
stream,['प्रवाह(PH)']
momentum,"['संवेग(MA),संवेग(CH),संवेग(PH)']"
flux,"['1. अभिवाह(CH),अभिवाह(PH)']"
end,['सिरा(PH)']
aerial,['आकाशी(PH)']
time,"['समय(MA),समय(PH)']"
application,['अनुप्रयोग उपयोजन(MA)']
matter,['द्रव्य(PH)']
modularity,['1.अनुखंडीयता(IT)']
geometry,['ज्यामिति(MA)']
compressed,['संपीडित(PH)']
run,['धाव(PH)']
running,['धावी(PH)']
remaining,['अवशिष्ट(PH)']
fluid,"['तरल(CH),तरल(PH)']"
integration,"['समाकलन(MA),1.एकीकरण (BT),समाकलन(PH)']"
section,"['1. अनुभाग(MA),1. अनुभाग(CH),अनुभाग(PH)']"
type,['प्रकार(IT)']
stator,['स्टेटर(PH)']
inlet,"['अंतर्गम(CH),प्रवेश(PH)']"
accelerated,['त्वरित(PH)']
kinetic,['गतिज(PH)']
form,"['रूप(IT),रूप(PH)']"
unity,['एक(MA)']
altitude,"['1. तुंगता ऊंचाई 2. उन्नतांश 3. शीर्षलम्ब(CH),तुंगता(PH)']"
rotational,['घूर्णी(PH)']
creep,"['1. विसर्पण 2. मंद विकृति(CH),मंद विकृति(PH)']"
effort,['प्रयास(PH)']
rotor,['रोटर(PH)']
reduced,['1. अपचित 2. समानीत(CH)']
expanded,['प्रसारित(PH)']
convergent,['अभिसारी (क्रि.)(MA)']
equal,"['समान(MA),समान(PH)']"
acoustic,"['ध्वानिक(CH),ध्वानिक(PH)']"
static,['स्थिर(PH)']
down,['अध:(IT)']
forward,['अग्र(CH)']
equation,"['1. समीकरण 2. समीकार(MA),समीकरण(CH),समीकरण(PH)']"
term,['पद(MA)']
hand,['हस्त(IT)']
side,['पार्श्व(PH)']
difference,['अंतर(PH)']
convective,['संवहनी(PH)']
plane,['तल(MA)']
inner,['आंतर(PH)']
wall,['भित्ति(PH)']
black,['काला(PH)']
inflow,['अंतर्वाह(PH)']
condition,['प्रतिबंध(PH)']
entry,['प्रविष्टि(PH)']
order,"['1. क्रम 2. कोटि 3. घात 4. मूलांक 5. समूहांक(MA),1.गण (BT),क्रम(PH)']"
maximized,['अधिकतमीकृत(MA)']
bed,['1. संस्तर 2. तल(CH)']
velocity,"['वेग(MA),वेग(PH)']"
impulse,"['आवेग(MA),आवेग(CH),आवेग(PH)']"
quantity,"['1. मात्रा(CH),मात्रा(PH)']"
cross,['तिर्यक(PH)']
dry,['शुष्क(PH)']
change,['1. परिवर्तन 2. अंतर(CH)']
concentration,"['1. सांद्रण(CH),सांद्रण(PH)']"
variable,"['1. चर 2. परिवर्तनशील(MA),प्रसरण(IT),परिवर्तनशील(PH)']"
annular,['वलयाकार(CH)']
reverse,['उत्क्रम(PH)']
divided,['विभाजित(PH)']
minimum,"['न्यूनतम(MA),न्यूनतम(PH)']"
circular,"['वृत्ताकार(MA),वृत्ताकार(CH),वृत्तकार(PH)']"
rectangular,"['आयताकार(MA),समकोणिक(PH)']"
list,['लिस्ट(PH)']
explanation,['व्याख्या(MA)']
dimensional,['विमीय(PH)']
free,['मुक्त(PH)']
diameter,"['व्यास(MA),व्यास(PH)']"
peripheral,"['1. परिधीय(MA),परिधीय(PH)']"
value,"['मूल्य(MA),मूल्य(PH)']"
valid,"['1.वैध(IT),मान्य(PH)']"
operating,['संकारक(PH)']
excess,"['आधिक्य(CH),अतिरिक्त(PH)']"
take-off,['उपरितरण(PH)']
pilot,['चालक(PH)']
scene,['दृश्य(PH)']
climb,['आरोह(PH)']
scenario,['परिदृश्य(IT)']
changing,['परिवर्ती(PH)']
distance,"['दूरी(IT),दूरी(PH)']"
target,['लक्ष्य(PH)']
plant,['1 पादप(CH)']
peak,['शिखर(PH)']
capability,['क्षमता(IT)']
rest,['विराम(PH)']
gel,['जेल(CH)']
burner,"['ज्वालक ज्वालक(CH),ज्वालक(PH)']"
area,"['1. क्षेत्र 2. क्षेत्रफल(MA),क्षेत्र(PH)']"
back,['पश्च(PH)']
surge,['महोर्मि(PH)']
method,"['रीति (MA),विधि(CH),विधि(IT)']"
enhancement,"['संवृद्धि(CH),संवृद्धि(PH)']"
fraction,['भिन्न(MA)']
evaporation,"['उद्वाष्पन(CH),वाष्पन(PH)']"
freezing,['हिमन(BT)']
note,['स्वर(PH)']
upstream,"['उर्ध्वप्रवाह(BT),1.प्रति प्रवाह(IT)']"
set,"['1. समुच्चय 2. पवन दिशा(MA),समुच्चय(IT)']"
isentropic,"['समेन्ट्रॉपिक(CH),समैन्ट्रॉपिक(PH)']"
account,['लेखा(IT)']
त्रिज्या,"['त्रिज्या(MA),त्रिज्या(CH),त्रिज्या(PH)']"
characteristic,"['1. अभिलक्षणिकः 2. पूर्णांश :(MK),1. अभिलक्षण (स.) 2. अभिलक्षणिक (वि.) 3. विशेषता(CH),लक्षण(PH)']"
clearance,[' अंतरण (PH)']
decreasing,"['ह्रासमान(MA),हासमान(CH)']"
lowering,['अवनमन(PH)']
tangential,"['स्पर्शीय(MA),स्पर्शीय(PH)']"
effective,"['प्रभावी(CH),प्रभावी(PH)']"
problem,"['प्रश्न (MA),प्रश्न(CH)']"
circuit,"['परिपथ(IT),परिपथ(PH)']"
corrected,['संशोधित(PH)']
moment,"['आघूर्ण(MA),आघूर्ण(CH),आघूर्ण(PH)']"
combination,"['संयुक्त(CH),संयोजन(IT),संयोग(PH)']"
splitting,['विपाटन(CH)']
increment,"['वृद्\u200cधि(MA),वृद्धि(IT)']"
fill,['भरण(CH)']
shock,['प्रघात(CH)']
surface,"['1. पृष्ठ 2. बहिर्तल 3. सतह(MA),पृष्ठ(PH)']"
total,"['जोड़(MA),जोड़(PH)']"
varying,['परिवर्ती(MA)']
sharing,"['सहभाजन (क्रि.)(CH),सहभाजन(IT)']"
determined,['निर्धारित(PH)']
pitch,"['वतींक(BT), अंतरण (IT),पिच(PH)']"
flexibility,['नम्यता(CH)']
maximum,"['महत्तम(MA),महत्तम(PH)']"
extended,['विस्तरित(PH)']
duct,['वाहिनी(PH)']
reduce,['कम करना(PH)']
core,"['क्रोड(CH),क्रोड(PH)']"
bypass,['उपपथ(PH)']
straight,['ऋजु(PH)']
basic,"['आधारी(MA),1. क्षारकीय 2. अल्पसिलिक 3. आधारी मूल(CH),बेसिक (एक कंप्यूटर भाषा)(IT),आधारीय(PH)']"
criterion,"['कसौटी(CH),कसौटी(PH)']"
help,['सहायता(IT)']
lead,"['1. लेड(CH),लेड(PH)']"
drag,"['कर्षण(MA),कर्षण (PH)']"
separation,['पृथकन(PH)']
ground,['भू-तलीय(PH)']
landing,['अवतरण(PH)']
burst,"['1. प्रस्फोट 2. विदर(CH),प्रस्फोट(PH)']"
close,['बंद(IT)']
pure,['शुद्ध(PH)']
handle,['प्रहस्तन(IT)']
natural,['स्वाभाविक(PH)']
mean,"['माध्य(CH),1.मध्यमान(IT),माध्य(PH)']"
series,"['1. श्रेणी 2. माला 3. सीरीज(MA),श्रेणी(PH)']"
cone,['शंकु(MA)']
storage,['संचयन(PH)']
equipment,"['उपस्कर(CH),उपस्कर(IT),उपस्कर(PH)']"
recovery,"['पुनः प्राप्ति(CH),पूर्ति(IT),उपलब्धि(PH)']"
least,"['न्यूनतम(MA),न्यूनतम(PH)']"
unlike,"['1.  उत्क्रम  2. विजातीय(MA),विजातीय(PH)']"
zero,"['1. शून्य(MA),१.शून्यक २.शून्य(PH)']"
auxiliary,"['सहायक(IT),सहायक(PH)']"
correspond,"['संगत होना(MA),संगत होना(PH)']"
metal,['धातु(PH)']
valve,['कपाट(PH)']
spark,"['स्फुलिंग(CH),स्फुलिंग(PH)']"
net,"['1. जाल(CH),नेट(IT)']"
tail,"['पुच्छ(MA),पुच्छ(PH)']"
organ,['आर्गन(PH)']
longitudinal,['देशांतरीय(PH)']
acoustics,"['1. ध्वानिकी(CH),ध्वनिकी(IT)']"
phase,"['1. प्रावस्था 2. कला 3. कोणांक(MA),प्रावस्था(BT),1. प्रावस्था(CH),1. प्रावस्था(IT),प्रावस्था(PH)']"
continuous,"['1. संतत(MA),1. सतत 2. अखंड(CH),संतत(PH)']"
mole,"['ग्राम अणु(CH),ग्राम अणु(PH)']"
oblique,"['तिर्यक(MA),तिर्यक्(PH)']"
reactive,['1. अभिक्रियाशील 2. अभिक्रियाशील 3. प्रतिघाती(CH)']
assumption,"['1. कल्पना 2. गृहीत(MA),1. कल्पना 2. गृहीत(CH)']"
dissociated,['वियोजित(PH)']
atomic,"['परमाण्विक(CH),परमाण्वीय(PH)']"
argon,['आर्गान(CH)']
monotonic,['एकदिष्ट(PH)']
marginal,"['उपांत(CH),सीमांत(PH)']"
potential,"['1. विभव (सं.) 2. स्थितिज (वि.) 3. शक्य (वि.)(CH),विभव (सं.)(PH)']"
dissociation,"['वियोजन(CH),वियोजन(PH)']"
input,"['निवेश (सं.)(MA),निवेश (सं.)(CH),निवेश (सं.)(PH)']"
hypersonic,['अतिध्वनिक(PH)']
associated,"['1. संबद्ध सहचारी(CH),संबंद्ध(PH)']"
column,"['स्तंभ(MA),स्तंभ(IT),स्तंभ(PH)']"
square,"['1. वर्ग 2. स्कवेयर(MA),वर्ग(PH)']"
carry,[' प्राप्त (IT)']
principal,"['1. मुख्य(CH),मुख्य(PH)']"
shape,['आकृति(PH)']
common,"['1. साधारण(CH),साधारण(PH)']"
bottom,['तली(CH)']
interaction,"['अन्योन्य क्रिया(IT),अन्योन्यक्रिया(PH)']"
flying,['उड़ना(PH)']
proportion,['समानुपात(PH)']
nose,['नासा(PH)']
external,"['बाह्य(MA),बाय(PH)']"
coefficient,"['गुणांक(CH),गुणांक(IT),गुणांक(PH)']"
steady,"['अपरिवर्ती(MA),अपरिवर्ती(CH),अपरिवर्ती(PH)']"
transition,"['संक्रमण(MA),1.संक्रमण(IT),संक्रमण(PH)']"
boundary,['परिसीमा(PH)']
layer,"['परत(MA),परत(IT),परत(PH)']"
curvature,"['वक्रता(MA),वक्रता(CH),वक्रता(PH)']"
module,"['माड्यूल(IT),मॉड्यूल(PH)']"
objective,"['1. वस्तुनिष्ठ (वि.) 2. अभिदृश्यक 3. उद्देश्य (सं.)(CH),वस्तुनिष्ठ (वि.)(PH)']"
spin,"['प्रचक्रण(CH),प्रचक्रण(PH)']"
rotating,['घूर्णी(PH)']
accelerate,['त्वरित करना(PH)']
state,['स्थिति(PH)']
sequence,"['अनुक्रम(MA),अनुक्रम(BT),अनुक्रम(CH)']"
action,"['1. क्रिया 2. कर्म(MA),1. क्रिया 2. कर्म(CH)']"
angle,"['कोण(MA),कोण(PH)']"
redundancy,['अतिरेकता(IT)']
board,['बोर्ड(IT)']
cartridge,['कार्टिज(PH)']
acceleration,"['त्वरण(MA),त्वरण(CH),त्वरण(PH)']"
automatic,"['स्वचालित(CH),आत्मचालित(PH)']"
exothermic,['ऊष्माक्षेपी(PH)']
oxidation,['ऑक्सीकरण(BT)']
result,['परिणाम(PH)']
argument,['1. प्राचर(IT)']
weight,"['1. भार(MA),१.भार(PH)']"
call,['आह्वान(IT)']
connection,"['संबंधन(IT),संबंधन(PH)']"
casing,['आवरक(CH)']
eliminate,['विलुप्त करना(MA)']
molecular,"['आण्विक(CH),आणिवक(PH)']"
instance,['दृष्टाँत(IT)']
relative,"['आपेक्षिक(CH),1.सापेक्ष(IT),आपेक्षिक(PH)']"
compound,"['1. आमिश्र(CH),मिश्र(PH)']"
physical,['1.भौतिक(IT)']
homogeneous,"['1. समांग(MA),1. समांग(CH),समांग(PH)']"
heterogeneous,"['1. विषमांग(MA),1. विषमांग(CH)']"
shell,['1.कोष्ठक(IT)']
face,"['1. फलक(MA),1. फलक(CH),फलक(PH)']"
inhibitor,['संदमक(BT)']
principle,"['नियम(MA),नियम(PH)']"
local,['1.स्थानीय(IT)']
normal,"['1. प्रसामान्य 2. प्राकृतिक 3. मानक 4. सामान्य(MA),1. प्रसामान्य 2. नार्मल 3. सामान्य 4. अभिलंब(CH),1.सामान्य(IT),अभिलंब(PH)']"
construction,['रचना(MA)']
magnitude,['परिमाण(PH)']
percent,"['प्रतिशत(MA),प्रतिशत(PH)']"
universal,['सार्वत्रिक(MA)']
statement,['प्रकथन(PH)']
complete,['पूर्ण(PH)']
vacuum,['निर्वात(PH)']
initiator,['प्रारंभक(BT)']
wire,['तार (सं.) १.तार भेजना २.तार संबंध करना ३.तार करना (क्रि.)(PH)']
sensitive,['सुग्राही(PH)']
arm,['बाहु(PH)']
electromagnetic,['विद्युत-चुम्बकीय(PH)']
interference,"['1.व्यतिकरण (BT),व्यतिकरण(CH),अंत:क्षेप(PH)']"
tactical,['चातुर्यपूर्ण(CH)']
kilo,['किलो(PH)']
structural,"['संरचनात्मक(CH),संरचनात्मक(PH)']"
inert,['अक्रिय(BT)']
return,"['1.प्रतिगमन(IT),प्रतिध्वनि(PH)']"
diaphragm,['तनुपट(PH)']
catalyst,['उत्प्रेरक(BT)']
unsymmetrical,['असममित(MA)']
white,['श्वेत(PH)']
acid,['1. अम्ल 2. अधिसिलिक(CH)']
earth,"['1. भू(MA),1. भू-. पृथ्वी भूमि 6.2.मृदा; मिट्टी 3. भूसंपर्कित करना(CH),पृथ्वी(PH)']"
insulated,['विद्युतरोधी(PH)']
pump,['पंप(PH)']
applied,['अनुप्रयुक्त(PH)']
container,['पात्र(IT)']
orientation,"['दिकविन्यास(MA),अभिविन्यास(BT),अभिविन्यास(CH),अभिविन्यास(PH)']"
tension,[' प्रतिबल (PH)']
fine,['परिष्कृत (PH)']
coating,"['विलेपन(CH),विलेपन(PH)']"
screen,['छन्नी(PH)']
smooth,['1. चिकना(CH)']
open,['खुला(MA)']
decay,"['क्षय(CH),क्षय(PH)']"
line,"['1. रेखा 2.  रेखा  3. दीर्घतंतु(MA),रेखा(PH)']"
path,"['पथ(IT),पथ(PH)']"
plate,['पट्टिका(PH)']
impinging,['प्रघाती(PH)']
final,['अंतिम(PH)']
command,['1.समादेश(IT)']
explosion,"['विस्फोट(CH),विस्फोटन (PH)']"
practice,['1. व्यवहार-गणित 2. प्राचलन पद्\u200cधति(MA)']
metric,['दूरीक(PH)']
handling,['प्रहस्तन(IT)']
frame,"['फ्रेम(IT),पूर्ण चित्र (PH)']"
extraction,"['निष्कर्षण(CH),निष्कर्षण(IT)']"
limit,"['1. सीमा 2. सीमांत(MA),सीमा(PH)']"
age,['वय(PH)']
rotate,['घूर्णन करना(PH)']
directed,['दिष्ट(PH)']
zone,"['क्षेत्र(CH),1.क्षेत्र(IT)']"
