English,Hindi
adaptation,मेल;संयोग;समतुल्यता;अनुकूलता
add,जोडना;बढाना;मिलाना;लगाना
addict,आदत डालना
addition,जोड;संकलन;योग;आधिक्य;अधिकता
additional,अतिरिक्त;अधिक;अपर;अधिकतर
addle,ऊसर;निकम्मा;गंदा;सडा;खाली
address,भाषण;व्याख्यान;संबोधन
adept,दक्ष;प्रवीण;निपुण;पक्का;गुणी
adequate,तुल्य;बराबर;काफी;पर्याप्त
adhere,चिपटना;लग जाना;मानना
adherence,प्रेम;लगाव;भक्ति;धैर्य
adherent,साथी;अनुयायी;सहायक;पक्षीय
adjacent,पास का;निकटवर्ती;सटा हुआ
adjective,आश्रित;अवलम्बित;विशेषण
adjoin,लगा होना;जुटा होना;समीप होना
adjoining,समीप;निकटवर्ती;पास का;लगा हुआ
adjourn,कार्यवाही स्थगित करना
adjunct,सहित;संयुक्त;मिला हुआ;जोड
adjust,ठीक करना;सुधारना;संवारना
adjustment,फैसला;सुधार;समाधान;समायोग
adjutant,गरुण;खगेश;हरगील
administer,शासन करना;चलाना;प्रबन्ध करना
administration,कारोबार का प्रबन्ध
administrative,प्रबंधकारी शासन संबन्धी;कुशल
admiralty,जलसेना विभा
admirer,प्रशंसक;सराहने वाला;प्रेमी
admissibility,ग्राह्यता
admission,प्रवेश;पैठ;पहुंच;प्रवेशन
admit,प्रवेश कराना;आज्ञा देना
admonish,समझाना;नम्रता से झिडकना
admonition,डांट;परामर्श;शिक्षा;उपदेश
ado,श्रम;कष्ट;दौड धूप;बखेडा;झमेला
adolescence,किशोरावस्था;युवावस्था;जवानी
adolescent,किशोर;युवक;तरुण
adopt,गोद लेना;पालन करना;धारण करना
adoption,स्वीकार;गोद लेना;पुत्रीकरण
adore,बहुत चाहना;बहुत प्रेम करना
adorn,सजाना;संवारना;श्रृंगार करना
adrift,इधर उधर;बहता हुआ;डावांडोल
adroit,चतुर;निपुण;दक्ष;धूर्त;चालाक
adulation,चापलूसी;चिकनी चुपडी बातें
adult,परिपक्व;तरुण;वय:प्राप्त;पौढ
adulterate,मिलाकर बिगाडना;खोट मिलाना
adultery,व्यभिचार;परस्त्रीगमन;जारकर्म
advance,उन्नति;बढोतरी;वेशी;बढती;पेशगी
advancement,उन्नति;वृद्धि;उत्कर्ष;अभ्युदय
advantage,बढत;आधिक्य;भला अवसर;सुअवसर;फल
advantageous,लाभदायक;हितकारी;उपकारी
advent,यशूक्रीस्त का आगमन
adventure,साहस;देवाधीन कर्म
adventurer,साहसिक;साहस व्यवसायी
adventurous,सूरमा;बहादुर;साहसी;शूरवीर
adversary,रिपु;शत्रु;अरि;विरोधी;वादी
adverse,प्रतिकूल;विपरीत;विरुद्ध;अभागा
adversity,आपदा;विपत्ति;दु:ख;दुर्भाग्य
advertise,प्रकाश करना;विज्ञापन देना
advertisement,विज्ञापन
advice,सलाह;परामर्श;मंत्र;उपदेश;खबर
advisable,उचित;योग्य;चाहने योग्य
advise,ध्यान करना;विचार करना
advisory,परामर्श देने वाली;शिक्षाप्रद
advocacy,वकालत;बहस;पक्षसमर्थन;सिफारिश
advocate,वकील;सलाहकार;पक्ष करने वाला
aerial,नभस्थ;आकाशज;हवाई;आसमानी
aeroplane,वायुयान
afar,फासले पर;दूर;बहुत परे
affable,मिलनसार;सुशील;मधुर भाषी
affair,काम;कार्य;व्यापार;उद्यम
affect,प्रभाव डालना;असर करना;व्यापना
affection,प्रेम;स्नेह;मोह;लगाव;अनुराग
affectionate,प्यारा;प्रेमी;स्नेही;प्रिय
affectionately,प्यार से;प्रेम से;स्नेह से
affidavit,शपथ लेख;शपथ पत्र
affiliate,लेपालक करना;गोद लेना
affinity,सम्बन्ध;रिश्तेदारी
affirm,प्रतिज्ञा करना;वचन देना
affirmation,धर्मानुकूल कहना;दृढ वचन
affirmative,स्वीकार सूचक;इकरारी
affix,प्रत्यय
afflict,दु:ख देना;कष्ट देना;सताना
affliction,दु:ख;शोक;कष्ट;व्यथा;विपद;रोग
affluence,बहुतायात;बाहुल्य;विपुलता
affluent,समृद्ध;परिपूर्ण;भरापूरा;धनी
afford,खर्च कर सकना;खरीद सकना
affront,अपमान;निरादर;अवज्ञा;तिरस्कार
afield,खेत में;मैदान में;खेत को
aflame,जलता हुआ;प्रज्वलित
afloat,बहता हुआ;तैरता हुआ;पानी पर
afoot,पांव पांव;पैदल चलकर
afraid,डरा हुआ;भयभीत;कान खडे;भीरु
aft,पीछे
afternoon,दुपहर के बाद;तीसरा पहर
afterthought,पीछे का विचार
afterward,तत्पश्चात;इसके बाद;पीछे
agate,सुलेमानी पत्थर;यश
age,जीवन काल;अवस्था;आयु
aged,वयोवृद्ध;बुड्ढा;आयु का
agency,कर्तृत्व;गुमाश्तागीरी
agenda,करने वाली कार्यवाही
agent,गुमाश्ता;मुनीम;आढतिया
aggravate,बढाना;ज्यादा संगीन करना
aggravation,अधिकाई;बुराई;संगीनी;भडकाव
aggregate,कुल;सकल;सब;समुदित
aggression,आक्रमण;आघात;चढाई;छेड;अपहरण
aggressor,छेडनहार
aggrieve,शोक करना;खेद करना;दु:ख देना
aghast,हक्का बक्का;भौंचक्का;व्याकुल
agile,फुर्तीला;चालाक;तेज;चपल
agitate,खलबली डालना;भडकाना;हलचल मचाना
agitation,उमड;धडक;घबडाहट;हैरानी;हलचल
ago,बीता हुआ;पूर्व
agonize,अत्यन्त पीढित होना
agony,अति पीडा;सन्ताप;व्यथा;वेदना
agrarian,भूमि विषयक;भूमि सम्बन्धी
agree,एक होना;एक मत होना;मिलना
agreeable,उपयोगी;मनभावन;सुहावना;प्रिय
agreement,ऐक्य;सम्मति;ताल मेल;संविद
agricultural,खेती बारी का;कृषि सम्बन्धी
agriculture,खेती;कृषि
ah,विस्मय;दया;घृणा
ahead,आगे;अगाडी;बढ के;सामने
aid,मदद;सहारा;सहायता;रक्षा;पालन
ail,बीमारी;रोग
ailment,कष्ट;पीडा;रोग;बीमारी;व्याधि
aim,लक्ष्य साधन;निशाना;ताक;सीध
aimless,लक्ष्य रहित;बिना उद्देश्य का
air,वायु;समीर;हवा;पवन;वायुमंडल
aircraft,वायुया
airs,अकड;घमंड;शेखी
airship,वायुया
airy,हवादार;वायुमय;हलका फुलका
aisle,रास्ता
akin,सगा;नातेदार;सगोत्र;सजातीय
alabaster,सेल खरी
alacrity,मुस्तैदी;प्रफुल्लता;चालाकी
alarm,भयध्वनि;शोरगुल;झप;भय;शंका
alarming,डरावना;भयानक;भयप्रद
alas,आह;शोक;हाय;अह:;हा
albeit,अगरचे;यद्यपि;तिस्पर भी
alchemy,रसायन विद्या;कोमिया;रसविद्या
alcohol,सुरासार;निर्मल मदिरा
alcove,गुफा;कुन्ज;कुटी
alderman,नगर का शासक;पुराध्यक्ष
ale,मद्य;जौ की शराब;यवसुरा;शराब
alert,होशियार;चौकस;सचेत;सावधान
algebra,बीजगणित;व्यक्तगणित
alias,उपनाम;दूसरा नाम;कल्पित नाम
alibi,अन्यत्र होना
alien,भिन्न स्वभाव का;विमुख;विदेशी
alienate,दे डालना;दान करना;बेचना
alienation,विक्री;बेची;हस्तान्तरित करण
alight,प्रदीप्त;जलता हुआ;नीचे आना
align,पंक्ति लगाना;पांत बांधना
alignment,रेखा;पंक्ति
alike,एक प्रकार;समान;सदृश;तुल्य
alive,सजीव;जीता;खुश;चालाक;सचेतन
alkaline,क्षारविशिष्ट
allay,दबाना;कम करना;घटाना;हलका करना
allegation,आरोप;दृढ वचन;निश्चित उत्तर
allege,आरोप लगाना;स्वीकार करना
allegiance,राजभक्ति;आज्ञापालन;अधीनता
allegory,रूपक;दृष्टान्त;दृष्टान्ती
alleviate,कम करना;हलका करना;घटाना
alley,सकरी गली;पथ;वीथी
alliance,;मेल;एका;नाता;संधि;सम्बन्धन
alligator,मगर;घडियाल;ग्राह
allocate,बांटना;अंश लगाना;बटवारा करना
allot,बांटना;भाग करना;बटवारा करना
allotment,बटाई;बटवारा;विभाग;अंश;भाग
allow,मानना;आज्ञा देना;स्वीकार करना
allowance,आज्ञा;स्वीकार;अनुयदि;स्वीकार
alloy,मिलौनी;कुधातु;खोट धातु;मिलाना
allude,संकेत करना;सूचना करना
allure,लुभाना;रिझाना;फुसलाना;मोहना
allusion,हवाला;इशारा;संकेत;सूचना
ally,मित्र;साथी;मित्रताना;संधिना
almanac,पत्रा;जन्त्री;पंचांग
almighty,सर्वशक्तिमान
almond,बादाम
almost,अधिकतर;लगभग;प्राय:;करीब करीब
aloft,ऊंचा;ऊपर;मस्तूल पर
alone,अकेला;लम्बाई में;आगे
along,बराबर बराबर;साथ साथ;बिलकुल
aloof,पृथक;न्यारा;अलग दूर;परे
aloud,चिल्ला कर;ऊंचे स्वर से
alphabet,वर्णमाला
alphabetical,वर्णमाला सम्बन्धी
already,पहले से;अभी;पहले;इसी समय
also,इसी प्रकार;भी;और;सिवा इसके
altar,वेदी;अग्निहोत्र का स्थान
alter,बदल जाना
alteration,परिवर्तन;फेराफेर;काटकूट
altercation,झगडा;विवाद;बहस;वादविवाद
alternate,अदल बदल का;परस्पर का;उल्टा
alternative,विकल्प
although,यद्यपि
altitude,ऊंचाई;उच्चत्व;उन्नतांश;अभिमान
altogether,सारा;सब का सब;सम्पूर्ण;निदान
altruism,पर्यायवाद
alum,फिटकिरी
aluminium,अलमुनियम
always,नित्य;सदा;लगातार;हरदम;सर्वथा
amalgamate,मिल जाना;मिलाना;मिश्रित करना
amalgamation,मेल;मिलाप;मिश्रण;मिलावट
amass,ढेर लगाना;समेटना;संचय करना
amateur,;अप्रवीण
amaze,विस्मय;अचंभा;आश्चर्य
amazement,अचम्भा;घबडाहट;आश्चर्य;विस्मय
amazing,विस्मयकारी;आश्चर्यजनक;अद्भुत
amazon,योद्धा स्त्री;वीरांगना
ambassador,राजदूत;एलची
amber,अम्बर;कहरुवा;त्रिणमणि
ambient,व्यापक
ambiguity,सन्देहार्थता;द्वयर्थक;अस्पष्ट
ambition,अभिलाषा;उमंग
ambitious,उमंगी;अभिलाषी;धुनी
amble,टहलना;धीरे धीरे चलना
ambulance,अस्पताल गाडी
ambush,घात
amen,ऐसा ही हो;एवमस्तु;तथास्तु
amenable,वश्य;अधीन;आज्ञा कर;उत्तरदायी
amend,उत्तम होना;उन्नति करना
amendment,शुद्धता;सुधार;दुरुस्ती;संशोधन
amends,प्रतिफल;पारितोषिक;डांड;बदला
amenity,मनोहरता;सुहावनापन;नरमी
amiable,सुशील;प्रिय;मनभावना;शीलवन्त
amicable,मित्रवत;हिला मिला;उपकारी
amidst,बीच में;साथ में;मध्य में
amiss,गलत;अनुचित;बेजा;बुरा;दोषी
amity,मित्रता;बन्धुत्व;मेल जोल
ammunition,लडाई का सामान;युद्ध सामग्री
amnesia,विस्मरण;भूल
amnesty,अपराध-क्षमा;प्राणरक्षा
amongst,बीच में;मध्य में;मिला हुआ;में
amorous,प्रणयशील;प्रेमप्रवण
amount,फलगणना;( गणित) मिश्रधन;राशि
amphibious,जल-थल-चर
amphitheatre,रंगभूमि;नाचघर;अखाडा
ample,बहुत बडा;फैला हुआ
amplify,बढाना
amply,बहुतायात से;विपुलता से
amputate,काट डालना;अंग भंग करना
amuck,पागल की तरह;उन्मत्त भाव से
amuse,अभिनन्दित करना;आनन्द देना
amusement,आनन्ददान;आनन्द;सुख;विनोद
amusing,आमोद जनक;सुखदायक;रम्य
analogy,समानता;सादृश्य;तुल्यता;उपमा
analysis,विभाग;पदच्छेद;अन्वय;व्यवच्छेद
anarchist,बागी;अराजकतावादी
anarchy,कुप्रबन्ध;अराजकता;अशासन
anatomy,चीरफाड;शरीर व्यवच्छेद-विद्या
ancestor,पूर्वज;बाप दादा;पितृ
ancestral,बपौती;बाप दादो का
ancestry,पितृ;श्रेणी;वंश
anchor,लंगर;आश्रय;भरोसा;शरणस्थान
anchorage,बन्दरगाह
ancient,पुराना;प्राचीन;सनातन का
ancillary,दासी;बांदी
anecdote,चुटकुला;छोटी कहानी;उपाख्यान
anew,नये प्रकार से;फिर से;दोहरा के
angel,देवदूत;स्वर्ग दूत;फरिश्ता
angelic,स्वर्ग दूत समान;दिव्य
anger,अप्रसन्नता;क्रोध;तामस;कोप;रोष
angle,कोण;कोना
angler,कांटा डालने वाला
angry,क्रोधित;क्रुद्ध;कुपित;सदोष
anguish,कष्ट;व्यथा;पीडा;दु:ख;सन्ताप
angular,कोनेदार;नुकीला;कोण
animal,जन्तु संबंधी;जान्तव;पाशविक
animate,जिलाना;सचेत करना;साहस देना
animation,चंचलता;साहस;जीवशक्ति;चुहल
animus,उद्देश्य;भाव;आशय;मनस
anise,सौंफ का पौधा
ankle,टखना;घुडी;घुटिका;पोंग;शीत लगा
annex,अंत में जोडना;मिला लेना
annexation,लगाव;मेल;संयोजन
annihilate,मिटाना;सत्यानाश करना
annihilation,नाश;लोप;सत्यानाश;अभाव;विनाश
anniversary,वार्षिकोत्सव
annotate,टीका करके समझाना;टिप्पणी करना
announce,प्रकट करना;विज्ञापन देना
announcement,विज्ञापन;सूचना;घोषणा
annoy,सताना;दु:ख पहुंचाना;खिझाना
annoyance,कष्ट;पीडा;दु:ख;छेडछाड;खिझलाहट
annual,वार्षिक;सम्वती;वार्षिक पत्र
annuitant,सालानेदार;वार्षिक वृत्तिधारी
annul,निष्फल करना;उठा देना;ना
annulment,शून्यकरना;उठा देना;मिटाव;लोप
anoint,तेल लगाना;राज तिलक करना
anomalous,नियम विरुद्ध;विधि से बाहर
anomaly,नियम विरोध;कुचाल;अव्यवस्था
anonymous,बेनाम;नाम रहित
another,दूसरा;अपर;इतर;और कोई;कोई और
answer,उत्तर;हल;पक्ष समर्थन
answerable,उत्तर के योग्य;उत्तरदायी;ठीक
ant,चिऊंटी;चीटी;पिपीलिका
antagonism,विरोध;शत्रुता;लाग;बैर
antagonist,शत्रु;बैरी;अरि;विपक्षी
antelope,हिरन;मृग;चिकारा
anthem,भजन;धर्म संगीत;स्तुति
anthology,पद्य;समुदाय;पद्य संग्रह
antic,अद्भुत;विलक्षण;हंसी योग्य
anticipation,अग्रदृष्टि
antidote,प्रतिकार;विषनाशक औषधि;विष हरण
antipathy,घृणा;शत्रुता;अनिच्छा;विद्वेष
antiquated,पुराना;प्राचीन;अप्रचलित
antique,पुराना;अनोखा;निराला;प्राचीन
antiquities,प्राचीन कालीन वस्तु
antiquity,प्राचीन कालीन वस्तु
antiseptic,सडन रोकने वाली;पूतिनाशक
antithesis,विरोध;अलंकार;अन्तर;भास तुलना
anvil,निहाई;अहरन
anxiety,चिन्ता;सोच;उत्कण्ठा;फिक्र
anxious,चिन्तित;उद्विग्न;बेचैन
anyhow,किसी प्रकार से;जैसे तैसे
anywhere,कहीं भी;किसी स्थान पर
apace,शीघ्रता से;उतावली से;तुरन्त
apart,पृथक;भिन्न;अलग;पृथक;भिन्न;अलग
apartment,कमरा;कोठरी;अन्तःपुर
apathetic,उदासीन;अनुरागहीन;बेपरवाह
apathy,उदासीनता;अनुरागहीनता;बेपरवाही
ape,बन्दर;वानर;मल्लू;कपि
aperture,छेद;झिरी;नोखा;बिल;छिद्र
apex,नाक;शीर्ष;सिरा;चोटी;पराकाष्ठा
aphorism,सूत्र;कहावत;प्रमाण;वचन
apiece,प्रत्येक;भिन्न भिन्न
apocryphal,अप्रमाणिक;शंकित
apologise,क्षमा मांगना;बिनती करना
apologize,क्षमा मांगना;बिनती करना
apologue,कहानी;कहावत
apology,क्षमा प्रार्थना
apoplexy,मूर्छा की बीमारी;मृगी रोग
apostacy,स्वधर्म त्याग
apostasy,स्वधर्म त्याग
apostate,धर्म रहित;धर्म च्युत
apostle,ईश्वर दूत;प्रेरित
appall,डराना;भय दिलाना
apparatus,हथियार;औजार;सामग्री;सामान
apparel,कपडा;वस्त्र;पोषाक;वेष;पहनाना
apparent,प्रकट;दृश्य;लक्ष्य;प्रकाश
apparition,दृश्य;मूर्ति;आभास;छाया;भूत
appeal,अपील
appear,दिखलाई पडना;देख पडना
appearance,उपस्थिति;रूप;उदय;दिखावट
appease,शान्त करना
appellant,अपील करने वाला
appellate,पुनर्विचार सम्बन्धी
appellation,पदवी;नाम;उपपद;उपाधि
append,जोडना;लगाना;मिलाना;नत्थी करना
appendage,जोडी हुई वस्तु;लटकन;पुच्छ
appendix,जोडी हुई वस्तु;अतिरिक्त वस्तु
appertain,सम्बन्ध रखना;सरोकार रखना
appetite,भूख;स्वाभाविक ईच्छा;प्रवृत्ति
applause,सराहना;वाह वाह
apple,सेब;सेब का पेड;आंख की पुतली
appliance,यंत्र;युक्ति;उपाय;प्रयोग
applicable,उचित;अनुकूल
applicant,प्रार्थी;याचक;निवेदक
application,प्रार्थना पत्र;परिश्रम;लगाव
apply,निवेदन पत्र देना;ठीक होना
appoint,नियुक्त करना;निश्चय करना
appointment,नियुक्ति;वचन;वादा;स्थापन
apportion,बांटना;अंश लगाना;बंटवारा करना
apposition,समानाधिकरण;निरूपण करने वाला
appraise,मोल लगाना;दाम ठहराना
appreciate,मूल्य बढना;गुण पहचानना
appreciation,मूल्य का निर्णय;मूल्यावधारण
apprehend,पकडना;समझना;डरना
apprehension,डर;भय;शंका;अनुभव;बोध शक्ति
apprehensive,आशंकावान;भययुक्त;संदेही
apprentice,शिष्य;चेला;नौसिखिया
apprise,जताना;सूचना देना;बतलाना
approach,निकटता;अवाई;समीप गमन;प्रवेश
appropriate,उचित;योग्य;उपयुक्त;फबता हुआ
approval,स्वीकृति;अङ्गीकार;अनुमोदन
approve,स्वीकार करना;मानना
approximate,लगभग;निकट;समीप;सन्निकट
approximately,लगभग
approximation,निकटागमन;समीपता;पहुंच
apricot,खूबानी
apron,एप्रन;तहबन्द
aprops,अभिप्रायानुसार;समय पर
apt,ठीक;योग्य;झुका हुआ;तत्पर
aptitude,योग्यता;तत्परता;झुकाव
aquatic,जलचर;पानी के;जलसम्बन्धीय
aqueduct,नाली;नहर
arable,कृषि योग्य;कर्षण योग्य
arbiter,पंच;न्यायकर्त्ता
arbitrary,स्वेच्छित;अनियन्त्रित
arbitrate,निर्णय करना
arbitration,पञ्चायत;मध्यस्थता
arbitrator,पञ्च;न्यायकर्त्ता;मध्यस्थ
arboreal,वानस्पतिक
arbour,कुञ्ज;लतागृह
arc,वृत्तखण्ड;धनुष;चाप
arcade,तोरण पथ;बरसाती कमांचा
arch,प्रधान;मुख्य;ठठोलिया;चालाक
archaeology,पुरातत्व
archaic,प्राचीन;अप्रचलित
archangel,महादूत
archbishop,प्रधान पादरी
archer,धनुर्धर;धनुष चलाने वाला
archery,धनुर्विद्या
archipelago,द्वीपसमूह
architecture,स्थापत्य;शिल्प विद्या;बनावट
archives,लेखागार
arctic,उत्तरी ध्रुवी
ardent,उत्कट;तीव्र;उत्साही;प्रचण्ड
ardour,ज्वाला;उत्साह;ललक;उत्सुकता
arduous,कठिन;विकट;दूभर;दुष्कर;दुरारोह
area,क्षेत्र;क्षेत्रफल;मैदान
arena,रंगभूमि;अखाडा
argue,वाद-विवाद करना
argument,तर्क;युक्ति;दलील;बहस
argumentative,विवादप्रिय;तार्किक
arid,सूखा;भूना हुआ
arise,चढना;उठना;उदय होना;उगना
aristocracy,अभिजात वर्ग;उच्चवर्ग;प्रधानजन
arithmetic,अंकगणित
ark,बडा जहाज;सन्दूक
arm,बाहु;भुजा;खाडी;शाखा;हथियार;बल
armada,जहाजों का बेडा
armament,युद्ध का सामान
armistice,युद्धविराम
armour,कवच;वर्म
armoury,शस्त्रागार
army,सेना
aroma,मीठी सुगन्ध
aromatic,सुरभित;सुगन्धित;महकीला
around,हर ओर;घेर कर;हर ओर;घेर कर
arouse,जगाना;उठाना;भडकाना;चौंकाना
arraign,दोषी ठहराना;कलंक लगाना
arrange,प्रबन्ध करना;क्रम से लगाना
arrangement,प्रबन्ध;क्रम से स्थापन
array,श्रेणी;व्यूह रचना;सजाना
arrears,बकाया;शेष
arrest,गिरफ्तार करना;पकडना;रोकना
arrival,आगमन
arrive,पहुंचना;प्राप्त करना;आजाना
arrogance,अहंकार;दर्प;घमण्ड;अभिमान;गर्व
arrogant,अहंकारी;घमण्डी;हठी;अभिमानी
arrow,तीर;बाण;शर
arrowhead,तीर का फल
arsenal,शस्त्रागार
arsenic,संखिया;हरताल
arson,आग लगाना
art,कला;कौशल;प्रवीणता;कारीगरी
artery,रक्तवाहिनी
artful,चालाक;धूर्त;चतुर;निपुण
article,वस्तु;चीज;दफा;धारा;लेख;निबन्ध
articulate,स्पष्ट;सवाक;सन्धियुक्त
artifice,शिल्पकार;चालाकी;फरेब;धोखा;छल
artificial,कृत्रिम;बनावटी;अप्राकृतिक
artillery,तोपखाना
artisan,शिल्पी;दस्तकार;कारीगर
artist,कलाकार;चित्रकार;गुणी;सुघड
ascend,चढना;ऊपर को उठना;बढना
ascendancy,प्रभुता;प्रभाव;सर्वाधिकार;बस
ascension,चढाव;उठान
ascent,चढाई;चढाव;आरोहण;ढाल
ascertain,निश्चय करना;जांचना;पता लगाना
ascetic,तपस्वी;यति;आत्मसंयमी
